id_paiement,id_utilisateur,mois,type_paiement,montant_paiement,statut_paiement,jours_retard
P000068,U0004,2025-07,Fournisseur,7000,À temps,0
P000069,U0004,2025-07,Loyer,60000,À temps,0
P000070,U0004,2025-08,Remboursement matériel,8500,À temps,0
P000071,U0004,2025-09,Fournisseur,51500,En retard,8
P000072,U0004,2025-09,Abonnement internet,52500,À temps,0
P000073,U0004,2025-10,Facture électricité,13500,À temps,0
P000074,U0004,2025-10,Transport,33000,À temps,0
P000075,U0004,2025-11,Remboursement matériel,34000,À temps,0
P000076,U0004,2025-11,Fournisseur,21500,À temps,0
P000077,U0004,2025-12,Facture électricité,59500,À temps,0
P000078,U0004,2025-12,Remboursement matériel,15000,En retard,18
P000079,U0004,2026-01,Remboursement matériel,47500,En retard,7
P000080,U0004,2026-01,Facture électricité,13500,À temps,0
P000081,U0004,2026-02,Fournisseur,36500,À temps,0
P000082,U0004,2026-03,Fournisseur,52500,À temps,0
P000083,U0004,2026-03,Transport,62000,À temps,0
P000084,U0004,2026-04,Facture électricité,11500,À temps,0
P000085,U0004,2026-04,Loyer,5000,À temps,0
P000086,U0004,2026-05,Loyer,50500,À temps,0
P000087,U0004,2026-05,Transport,58500,À temps,0
P000088,U0004,2026-05,Remboursement matériel,48000,À temps,0
P000089,U0004,2026-06,Loyer,14000,À temps,0
P000090,U0004,2026-06,Transport,63000,À temps,0
P000091,U0005,2025-07,Loyer,38000,En retard,12
P000092,U0005,2025-07,Transport,12500,Impayé,55
P000093,U0005,2025-07,Remboursement matériel,43000,En retard,15
P000094,U0005,2025-08,Remboursement matériel,59500,À temps,0
P000095,U0005,2025-08,Transport,51000,Impayé,43
P000096,U0005,2025-08,Fournisseur,41000,Impayé,32
P000097,U0005,2025-09,Fournisseur,40000,En retard,2
P000098,U0005,2025-10,Fournisseur,45500,À temps,0
P000099,U0005,2025-10,Facture électricité,49500,Impayé,44
P000100,U0005,2025-10,Facture électricité,30500,À temps,0
P000101,U0005,2025-11,Fournisseur,40000,À temps,0
P000102,U0005,2025-12,Transport,50000,À temps,0
P000103,U0005,2025-12,Remboursement matériel,52000,À temps,0
P000104,U0005,2025-12,Facture électricité,10000,À temps,0
P000105,U0005,2026-01,Remboursement matériel,64500,En retard,18
P000106,U0005,2026-01,Loyer,15500,À temps,0
P000107,U0005,2026-02,Abonnement internet,45500,À temps,0
P000108,U0005,2026-03,Transport,10000,Impayé,21
P000109,U0005,2026-03,Fournisseur,46500,À temps,0
P000110,U0005,2026-04,Remboursement matériel,48000,À temps,0
P000111,U0005,2026-04,Fournisseur,48000,Impayé,24
P000112,U0005,2026-05,Transport,59500,À temps,0
P000113,U0005,2026-05,Loyer,8000,À temps,0
P000114,U0005,2026-06,Fournisseur,32500,À temps,0
P000115,U0005,2026-06,Facture électricité,50500,En retard,9
P000116,U0006,2025-07,Loyer,5500,En retard,2
P000117,U0006,2025-07,Fournisseur,39000,À temps,0
P000118,U0006,2025-08,Fournisseur,50500,En retard,3
P000119,U0006,2025-08,Loyer,30500,Impayé,20
P000120,U0006,2025-08,Facture électricité,59000,À temps,0
P000121,U0006,2025-09,Loyer,47000,À temps,0
P000122,U0006,2025-09,Facture électricité,18000,Impayé,53
P000123,U0006,2025-09,Abonnement internet,18000,À temps,0
P000124,U0006,2025-10,Fournisseur,18000,À temps,0
P000125,U0006,2025-10,Transport,51000,À temps,0
P000126,U0006,2025-11,Fournisseur,28000,À temps,0
P000127,U0006,2025-11,Abonnement internet,20000,En retard,8
P000128,U0006,2025-12,Abonnement internet,12500,Impayé,36
P000129,U0006,2025-12,Fournisseur,58500,Impayé,36
P000130,U0006,2026-01,Abonnement internet,39000,À temps,0
P000131,U0006,2026-01,Transport,59500,À temps,0
P000132,U0006,2026-02,Abonnement internet,45500,À temps,0
P000133,U0006,2026-02,Fournisseur,62000,À temps,0
P000134,U0006,2026-02,Loyer,55000,Impayé,37
P000135,U0006,2026-03,Loyer,41000,À temps,0
P000136,U0006,2026-03,Abonnement internet,36000,Impayé,41
P000137,U0006,2026-03,Abonnement internet,17000,À temps,0
P000138,U0006,2026-04,Abonnement internet,27500,À temps,0
P000139,U0006,2026-04,Facture électricité,28000,Impayé,58
P000140,U0006,2026-04,Loyer,43000,En retard,7
P000141,U0006,2026-05,Facture électricité,22000,En retard,4
P000142,U0006,2026-05,Transport,63000,À temps,0
P000143,U0006,2026-05,Loyer,21000,En retard,16
P000144,U0006,2026-06,Remboursement matériel,59500,À temps,0
P000145,U0006,2026-06,Abonnement internet,10000,À temps,0
P000146,U0007,2025-07,Remboursement matériel,29500,À temps,0
P000147,U0007,2025-07,Facture électricité,26500,À temps,0
P000148,U0007,2025-08,Fournisseur,57000,À temps,0
P000149,U0007,2025-09,Facture électricité,8000,En retard,6
P000150,U0007,2025-09,Loyer,62000,À temps,0
P000151,U0007,2025-10,Loyer,39000,À temps,0
P000152,U0007,2025-11,Loyer,22000,En retard,4
P000153,U0007,2025-11,Fournisseur,31000,À temps,0
P000154,U0007,2025-12,Facture électricité,41000,À temps,0
P000155,U0007,2025-12,Facture électricité,31000,À temps,0
P000156,U0007,2026-01,Abonnement internet,6000,À temps,0
P000157,U0007,2026-01,Facture électricité,25000,À temps,0
P000158,U0007,2026-01,Facture électricité,26500,À temps,0
P000159,U0007,2026-02,Facture électricité,23500,À temps,0
P000160,U0007,2026-03,Facture électricité,27500,À temps,0
P000161,U0007,2026-03,Abonnement internet,46000,À temps,0
P000162,U0007,2026-04,Loyer,6500,À temps,0
P000163,U0007,2026-05,Loyer,24000,À temps,0
P000164,U0007,2026-05,Abonnement internet,55500,En retard,16
P000165,U0007,2026-05,Loyer,32500,À temps,0
P000166,U0007,2026-06,Transport,36000,À temps,0
P000167,U0008,2025-07,Remboursement matériel,59000,À temps,0
P000168,U0008,2025-07,Remboursement matériel,60500,À temps,0
P000169,U0008,2025-08,Abonnement internet,28000,À temps,0
P000170,U0008,2025-08,Transport,19000,À temps,0
P000171,U0008,2025-09,Transport,35000,En retard,12
P000172,U0008,2025-09,Remboursement matériel,56500,En retard,3
P000173,U0008,2025-10,Remboursement matériel,46000,À temps,0
P000174,U0008,2025-11,Abonnement internet,51000,En retard,3
P000175,U0008,2025-11,Abonnement internet,32000,À temps,0
P000176,U0008,2025-12,Fournisseur,25000,À temps,0
P000177,U0008,2025-12,Abonnement internet,56500,À temps,0
P000178,U0008,2026-01,Remboursement matériel,64500,À temps,0
P000179,U0008,2026-02,Loyer,18500,À temps,0
P000180,U0008,2026-02,Remboursement matériel,30500,À temps,0
P000181,U0008,2026-03,Fournisseur,46500,En retard,16
P000182,U0008,2026-03,Fournisseur,28500,À temps,0
P000183,U0008,2026-04,Remboursement matériel,43500,À temps,0
P000184,U0008,2026-04,Fournisseur,21000,À temps,0
P000185,U0008,2026-05,Transport,49000,À temps,0
P000186,U0008,2026-06,Transport,9000,À temps,0
P000187,U0008,2026-06,Loyer,63000,À temps,0
P000188,U0009,2025-07,Fournisseur,5500,À temps,0
P000189,U0009,2025-07,Fournisseur,31500,En retard,11
P000190,U0009,2025-07,Facture électricité,29000,En retard,3
P000191,U0009,2025-08,Facture électricité,43000,À temps,0
P000192,U0009,2025-08,Transport,20500,En retard,10
P000193,U0009,2025-09,Facture électricité,13500,À temps,0
P000194,U0009,2025-10,Remboursement matériel,54000,Impayé,54
P000195,U0009,2025-10,Loyer,30000,À temps,0
P000196,U0009,2025-11,Facture électricité,45500,À temps,0
P000197,U0009,2025-12,Facture électricité,48500,À temps,0
P000198,U0009,2025-12,Loyer,51000,À temps,0
P000199,U0009,2026-01,Transport,11000,À temps,0
P000200,U0009,2026-01,Abonnement internet,10500,En retard,11
P000201,U0009,2026-02,Loyer,51000,À temps,0
P000202,U0009,2026-02,Facture électricité,16500,À temps,0
P000203,U0009,2026-03,Transport,13500,À temps,0
P000204,U0009,2026-03,Transport,23000,À temps,0
P000205,U0009,2026-04,Loyer,54000,À temps,0
P000206,U0009,2026-04,Abonnement internet,20000,En retard,12
P000207,U0009,2026-05,Abonnement internet,19500,En retard,7
P000208,U0009,2026-06,Loyer,56500,À temps,0
P000209,U0009,2026-06,Fournisseur,62500,À temps,0
P000210,U0010,2025-07,Abonnement internet,32500,En retard,2
P000211,U0010,2025-08,Abonnement internet,16500,Impayé,34
P000212,U0010,2025-08,Remboursement matériel,29500,Impayé,23
P000213,U0010,2025-08,Loyer,28000,À temps,0
P000214,U0010,2025-09,Loyer,34000,En retard,12
P000215,U0010,2025-09,Facture électricité,45000,Impayé,57
P000216,U0010,2025-10,Remboursement matériel,29000,En retard,2
P000217,U0010,2025-11,Abonnement internet,59500,Impayé,51
P000218,U0010,2025-11,Fournisseur,53500,En retard,2
P000219,U0010,2025-12,Loyer,37000,Impayé,35
P000220,U0010,2026-01,Abonnement internet,11500,En retard,13
P000221,U0010,2026-01,Loyer,6000,À temps,0
P000222,U0010,2026-02,Abonnement internet,7000,Impayé,27
P000223,U0010,2026-03,Loyer,12000,À temps,0
P000224,U0010,2026-03,Transport,38500,Impayé,50
P000225,U0010,2026-04,Transport,36000,En retard,7
P000226,U0010,2026-04,Remboursement matériel,49000,Impayé,31
P000227,U0010,2026-05,Abonnement internet,55000,Impayé,57
P000228,U0010,2026-05,Fournisseur,23000,Impayé,45
P000229,U0010,2026-06,Fournisseur,22000,En retard,2
P000230,U0010,2026-06,Facture électricité,33000,Impayé,27
P000231,U0011,2025-07,Fournisseur,36000,En retard,7
P000232,U0011,2025-07,Fournisseur,8500,À temps,0
P000233,U0011,2025-08,Facture électricité,60000,Impayé,33
P000234,U0011,2025-08,Abonnement internet,22500,À temps,0
P000235,U0011,2025-09,Fournisseur,20500,À temps,0
P000236,U0011,2025-10,Loyer,15500,À temps,0
P000237,U0011,2025-10,Facture électricité,22000,Impayé,37
P000238,U0011,2025-10,Transport,41000,À temps,0
P000239,U0011,2025-11,Loyer,29000,En retard,13
P000240,U0011,2025-11,Abonnement internet,6500,En retard,3
P000241,U0011,2025-11,Transport,48500,Impayé,23
P000242,U0011,2025-12,Remboursement matériel,21500,À temps,0
P000243,U0011,2025-12,Loyer,24500,À temps,0
P000244,U0011,2026-01,Transport,31500,Impayé,37
P000245,U0011,2026-01,Facture électricité,59000,Impayé,51
P000246,U0011,2026-01,Remboursement matériel,53500,À temps,0
P000247,U0011,2026-02,Facture électricité,47000,En retard,16
P000248,U0011,2026-03,Abonnement internet,24000,Impayé,44
P000249,U0011,2026-03,Loyer,33500,Impayé,58
P000250,U0011,2026-03,Loyer,59000,À temps,0
P000251,U0011,2026-04,Remboursement matériel,13500,Impayé,45
P000252,U0011,2026-05,Fournisseur,51500,Impayé,22
P000253,U0011,2026-05,Facture électricité,21500,En retard,14
P000254,U0011,2026-05,Abonnement internet,31000,En retard,6
P000255,U0011,2026-06,Abonnement internet,8000,Impayé,51
P000256,U0012,2025-07,Remboursement matériel,63500,À temps,0
P000257,U0012,2025-07,Transport,37000,En retard,6
P000258,U0012,2025-08,Remboursement matériel,35000,À temps,0
P000259,U0012,2025-08,Transport,62000,À temps,0
P000260,U0012,2025-09,Transport,53000,Impayé,56
P000261,U0012,2025-09,Loyer,19000,En retard,11
P000262,U0012,2025-10,Remboursement matériel,23500,À temps,0
P000263,U0012,2025-11,Abonnement internet,43500,À temps,0
P000264,U0012,2025-12,Transport,14500,À temps,0
P000265,U0012,2026-01,Facture électricité,39500,À temps,0
P000266,U0012,2026-02,Transport,15500,À temps,0
P000267,U0012,2026-03,Remboursement matériel,27500,À temps,0
P000268,U0012,2026-04,Loyer,57500,À temps,0
P000269,U0012,2026-04,Remboursement matériel,64000,À temps,0
P000270,U0012,2026-05,Fournisseur,25500,À temps,0
P000271,U0012,2026-06,Facture électricité,34500,À temps,0
P000272,U0012,2026-06,Loyer,58000,En retard,9
P000273,U0013,2025-07,Loyer,14500,À temps,0
P000274,U0013,2025-07,Remboursement matériel,51500,À temps,0
P000275,U0013,2025-07,Transport,38500,À temps,0
P000276,U0013,2025-08,Abonnement internet,63500,À temps,0
P000277,U0013,2025-08,Loyer,58500,À temps,0
P000278,U0013,2025-08,Facture électricité,13000,À temps,0
P000279,U0013,2025-09,Loyer,62000,À temps,0
P000280,U0013,2025-09,Facture électricité,57500,À temps,0
P000281,U0013,2025-10,Facture électricité,17500,En retard,3
P000282,U0013,2025-10,Fournisseur,39000,À temps,0
P000283,U0013,2025-11,Loyer,32000,À temps,0
P000284,U0013,2025-12,Facture électricité,22500,À temps,0
P000285,U0013,2025-12,Fournisseur,49000,À temps,0
P000286,U0013,2025-12,Fournisseur,47500,À temps,0
P000287,U0013,2026-01,Transport,34500,À temps,0
P000288,U0013,2026-01,Transport,26000,À temps,0
P000289,U0013,2026-02,Fournisseur,46000,À temps,0
P000290,U0013,2026-03,Facture électricité,21500,À temps,0
P000291,U0013,2026-03,Abonnement internet,25500,À temps,0
P000292,U0013,2026-04,Fournisseur,54500,À temps,0
P000293,U0013,2026-04,Fournisseur,56500,À temps,0
P000294,U0013,2026-05,Abonnement internet,5500,À temps,0
P000295,U0013,2026-05,Transport,49500,À temps,0
P000296,U0013,2026-06,Loyer,36500,À temps,0
P000297,U0013,2026-06,Abonnement internet,58000,À temps,0
P000298,U0014,2025-07,Loyer,60000,À temps,0
P000299,U0014,2025-08,Fournisseur,29500,À temps,0
P000300,U0014,2025-08,Remboursement matériel,16500,À temps,0
P000301,U0014,2025-09,Abonnement internet,17500,En retard,6
P000302,U0014,2025-09,Transport,53500,À temps,0
P000303,U0014,2025-10,Fournisseur,65000,En retard,14
P000304,U0014,2025-10,Remboursement matériel,18500,Impayé,24
P000305,U0014,2025-11,Loyer,34000,À temps,0
P000306,U0014,2025-12,Remboursement matériel,35000,À temps,0
P000307,U0014,2025-12,Transport,17000,En retard,5
P000308,U0014,2026-01,Fournisseur,48000,À temps,0
P000309,U0014,2026-02,Loyer,34000,À temps,0
P000310,U0014,2026-02,Loyer,52000,À temps,0
P000311,U0014,2026-03,Transport,9000,À temps,0
P000312,U0014,2026-04,Loyer,8000,À temps,0
P000313,U0014,2026-05,Fournisseur,18500,Impayé,45
P000314,U0014,2026-05,Remboursement matériel,13000,À temps,0
P000315,U0014,2026-06,Abonnement internet,47500,En retard,3
P000316,U0015,2025-07,Loyer,6500,À temps,0
P000317,U0015,2025-07,Facture électricité,25000,À temps,0
P000318,U0015,2025-07,Remboursement matériel,54500,À temps,0
P000319,U0015,2025-08,Facture électricité,20000,À temps,0
P000320,U0015,2025-08,Abonnement internet,27500,À temps,0
P000321,U0015,2025-08,Fournisseur,8500,À temps,0
P000322,U0015,2025-09,Abonnement internet,43000,À temps,0
P000323,U0015,2025-10,Abonnement internet,30000,À temps,0
P000324,U0015,2025-10,Transport,43500,À temps,0
P000325,U0015,2025-10,Facture électricité,13000,À temps,0
P000326,U0015,2025-11,Transport,14500,À temps,0
P000327,U0015,2025-11,Remboursement matériel,49500,À temps,0
P000328,U0015,2025-12,Loyer,16500,À temps,0
P000329,U0015,2025-12,Transport,14000,À temps,0
P000330,U0015,2026-01,Loyer,22000,En retard,15
P000331,U0015,2026-01,Remboursement matériel,46000,À temps,0
P000332,U0015,2026-01,Facture électricité,62000,À temps,0
P000333,U0015,2026-02,Abonnement internet,48500,À temps,0
P000334,U0015,2026-02,Fournisseur,9000,En retard,12
P000335,U0015,2026-02,Facture électricité,5000,À temps,0
P000336,U0015,2026-03,Fournisseur,21000,À temps,0
P000337,U0015,2026-03,Loyer,54500,À temps,0
P000338,U0015,2026-04,Fournisseur,61000,À temps,0
P000339,U0015,2026-04,Loyer,19500,À temps,0
P000340,U0015,2026-05,Abonnement internet,15000,À temps,0
P000341,U0015,2026-05,Loyer,60500,À temps,0
P000342,U0015,2026-06,Loyer,53000,À temps,0
P000343,U0015,2026-06,Abonnement internet,52500,À temps,0
P000344,U0015,2026-06,Facture électricité,49500,À temps,0
P000345,U0016,2025-07,Loyer,8500,À temps,0
P000346,U0016,2025-07,Remboursement matériel,17000,En retard,5
P000347,U0016,2025-08,Transport,57000,À temps,0
P000348,U0016,2025-08,Facture électricité,56000,À temps,0
P000349,U0016,2025-09,Abonnement internet,9000,À temps,0
P000350,U0016,2025-10,Abonnement internet,48000,À temps,0
P000351,U0016,2025-10,Loyer,43000,À temps,0
P000352,U0016,2025-11,Fournisseur,41000,À temps,0
P000353,U0016,2025-11,Abonnement internet,23000,À temps,0
P000354,U0016,2025-11,Fournisseur,32500,À temps,0
P000355,U0016,2025-12,Transport,50500,À temps,0
P000356,U0016,2025-12,Transport,29500,À temps,0
P000357,U0016,2026-01,Fournisseur,44000,En retard,14
P000358,U0016,2026-01,Remboursement matériel,44000,À temps,0
P000359,U0016,2026-02,Loyer,30000,À temps,0
P000360,U0016,2026-02,Abonnement internet,8500,En retard,13
P000361,U0016,2026-03,Loyer,25000,À temps,0
P000362,U0016,2026-03,Facture électricité,25000,À temps,0
P000363,U0016,2026-03,Abonnement internet,60500,À temps,0
P000364,U0016,2026-04,Facture électricité,33000,À temps,0
P000365,U0016,2026-04,Transport,14000,À temps,0
P000366,U0016,2026-04,Fournisseur,50000,En retard,5
P000367,U0016,2026-05,Facture électricité,28000,En retard,7
P000368,U0016,2026-05,Remboursement matériel,28000,À temps,0
P000369,U0016,2026-06,Loyer,40000,À temps,0
P000370,U0016,2026-06,Facture électricité,33500,À temps,0
P000371,U0017,2025-07,Abonnement internet,7500,À temps,0
P000372,U0017,2025-08,Remboursement matériel,41000,En retard,6
P000373,U0017,2025-09,Facture électricité,12000,Impayé,28
P000374,U0017,2025-09,Loyer,27500,En retard,9
P000375,U0017,2025-10,Transport,5500,En retard,11
P000376,U0017,2025-10,Abonnement internet,37000,À temps,0
P000377,U0017,2025-10,Remboursement matériel,21000,Impayé,52
P000378,U0017,2025-11,Fournisseur,46000,Impayé,34
P000379,U0017,2025-12,Fournisseur,55500,Impayé,41
P000380,U0017,2026-01,Remboursement matériel,10500,Impayé,28
P000381,U0017,2026-02,Loyer,40000,Impayé,22
P000382,U0017,2026-02,Loyer,17500,En retard,10
P000383,U0017,2026-02,Fournisseur,28000,Impayé,48
P000384,U0017,2026-03,Loyer,42500,À temps,0
P000385,U0017,2026-04,Fournisseur,12000,Impayé,44
P000386,U0017,2026-04,Transport,22000,Impayé,60
P000387,U0017,2026-04,Fournisseur,41000,À temps,0
P000388,U0017,2026-05,Loyer,58500,En retard,8
P000389,U0017,2026-05,Facture électricité,14500,À temps,0
P000390,U0017,2026-06,Transport,58500,En retard,4
P000391,U0018,2025-07,Fournisseur,24500,À temps,0
P000392,U0018,2025-08,Facture électricité,23000,Impayé,43
P000393,U0018,2025-09,Abonnement internet,14500,À temps,0
P000394,U0018,2025-09,Transport,57000,En retard,17
P000395,U0018,2025-10,Remboursement matériel,36500,En retard,15
P000396,U0018,2025-10,Fournisseur,57000,En retard,6
P000397,U0018,2025-11,Facture électricité,44500,En retard,18
P000398,U0018,2025-11,Loyer,5500,À temps,0
P000399,U0018,2025-11,Remboursement matériel,49500,Impayé,49
P000400,U0018,2025-12,Loyer,44000,À temps,0
P000401,U0018,2026-01,Loyer,38000,À temps,0
P000402,U0018,2026-01,Transport,45000,En retard,12
P000403,U0018,2026-02,Loyer,45000,En retard,6
P000404,U0018,2026-02,Fournisseur,46000,Impayé,26
P000405,U0018,2026-03,Facture électricité,16500,En retard,16
P000406,U0018,2026-03,Abonnement internet,36000,Impayé,48
P000407,U0018,2026-04,Remboursement matériel,12000,À temps,0
P000408,U0018,2026-04,Transport,12000,Impayé,45
P000409,U0018,2026-05,Abonnement internet,31500,À temps,0
P000410,U0018,2026-06,Transport,5000,Impayé,28
P000411,U0019,2025-07,Abonnement internet,64000,À temps,0
P000412,U0019,2025-07,Facture électricité,51000,À temps,0
P000413,U0019,2025-08,Loyer,5500,Impayé,46
P000414,U0019,2025-08,Facture électricité,6000,À temps,0
P000415,U0019,2025-09,Transport,16500,À temps,0
P000416,U0019,2025-09,Abonnement internet,39000,À temps,0
P000417,U0019,2025-10,Facture électricité,12000,À temps,0
P000418,U0019,2025-10,Abonnement internet,63500,À temps,0
P000419,U0019,2025-10,Facture électricité,37500,Impayé,33
P000420,U0019,2025-11,Transport,58000,À temps,0
P000421,U0019,2025-12,Fournisseur,21500,En retard,11
P000422,U0019,2025-12,Fournisseur,59000,Impayé,53
P000423,U0019,2025-12,Abonnement internet,31000,À temps,0
P000424,U0019,2026-01,Loyer,10000,À temps,0
P000425,U0019,2026-02,Fournisseur,57000,À temps,0
P000426,U0019,2026-03,Fournisseur,19500,À temps,0
P000427,U0019,2026-03,Abonnement internet,52000,En retard,4
P000428,U0019,2026-04,Loyer,44500,À temps,0
P000429,U0019,2026-05,Remboursement matériel,10000,À temps,0
P000430,U0019,2026-05,Abonnement internet,37500,En retard,14
P000431,U0019,2026-06,Facture électricité,8000,Impayé,24
P000432,U0019,2026-06,Abonnement internet,26500,En retard,14
P000433,U0020,2025-07,Transport,36500,À temps,0
P000434,U0020,2025-08,Facture électricité,14500,À temps,0
P000435,U0020,2025-08,Facture électricité,54000,À temps,0
P000436,U0020,2025-09,Transport,40000,À temps,0
P000437,U0020,2025-10,Transport,32500,À temps,0
P000438,U0020,2025-10,Loyer,31500,À temps,0
P000439,U0020,2025-11,Transport,46000,À temps,0
P000440,U0020,2025-12,Facture électricité,11500,À temps,0
P000441,U0020,2026-01,Facture électricité,33500,En retard,13
P000442,U0020,2026-01,Abonnement internet,12000,Impayé,51
P000443,U0020,2026-01,Transport,14500,À temps,0
P000444,U0020,2026-02,Loyer,25000,À temps,0
P000445,U0020,2026-02,Facture électricité,57500,À temps,0
P000446,U0020,2026-03,Facture électricité,8500,À temps,0
P000447,U0020,2026-03,Abonnement internet,62500,À temps,0
P000448,U0020,2026-04,Abonnement internet,21500,En retard,14
P000449,U0020,2026-05,Abonnement internet,57500,À temps,0
P000450,U0020,2026-05,Transport,55500,À temps,0
P000451,U0020,2026-06,Abonnement internet,42000,Impayé,49
P000452,U0020,2026-06,Fournisseur,17000,À temps,0
P000453,U0021,2025-07,Remboursement matériel,11000,Impayé,59
P000454,U0021,2025-07,Abonnement internet,56500,À temps,0
P000455,U0021,2025-07,Fournisseur,29500,À temps,0
P000456,U0021,2025-08,Facture électricité,5000,À temps,0
P000457,U0021,2025-09,Abonnement internet,5500,Impayé,42
P000458,U0021,2025-09,Fournisseur,61000,Impayé,33
P000459,U0021,2025-10,Remboursement matériel,9500,Impayé,50
P000460,U0021,2025-10,Remboursement matériel,36000,En retard,7
P000461,U0021,2025-11,Facture électricité,9000,En retard,5
P000462,U0021,2025-11,Facture électricité,60500,Impayé,48
P000463,U0021,2025-11,Abonnement internet,44500,En retard,2
P000464,U0021,2025-12,Loyer,10500,En retard,5
P000465,U0021,2025-12,Loyer,7000,Impayé,20
P000466,U0021,2025-12,Abonnement internet,56000,À temps,0
P000467,U0021,2026-01,Transport,65000,Impayé,35
P000468,U0021,2026-01,Remboursement matériel,10000,Impayé,56
P000469,U0021,2026-02,Loyer,20000,À temps,0
P000470,U0021,2026-02,Facture électricité,20000,À temps,0
P000471,U0021,2026-02,Fournisseur,42000,À temps,0
P000472,U0021,2026-03,Facture électricité,61500,À temps,0
P000473,U0021,2026-03,Remboursement matériel,8000,À temps,0
P000474,U0021,2026-04,Facture électricité,13000,À temps,0
P000475,U0021,2026-04,Transport,26000,Impayé,31
P000476,U0021,2026-05,Transport,20000,À temps,0
P000477,U0021,2026-06,Abonnement internet,8000,À temps,0
P000478,U0022,2025-07,Abonnement internet,19000,À temps,0
P000479,U0022,2025-07,Fournisseur,7000,En retard,6
P000480,U0022,2025-08,Abonnement internet,18000,Impayé,38
P000481,U0022,2025-08,Loyer,26500,À temps,0
P000482,U0022,2025-09,Loyer,44500,À temps,0
P000483,U0022,2025-09,Abonnement internet,27500,À temps,0
