id_revenu,id_utilisateur,mois,source_revenu,montant_revenu,canal_reception,revenu_recurrent
R000031,U0004,2025-08,Contrat ponctuel,88000,Mobile money,Non
R000032,U0004,2025-09,Contrat ponctuel,64947,Virement,Oui
R000033,U0004,2025-10,Mission freelance,197168,Mobile money,Oui
R000034,U0004,2025-10,Contrat ponctuel,210000,Mobile money,Oui
R000035,U0004,2025-10,Prestation digitale,135651,Mobile money,Oui
R000036,U0004,2025-11,Mission freelance,50412,Mobile money,Oui
R000037,U0004,2025-12,Contrat ponctuel,176351,Mobile money,Oui
R000038,U0004,2026-03,Mission freelance,63383,Mobile money,Non
R000039,U0004,2026-04,Prestation digitale,189742,Mobile money,Non
R000040,U0004,2026-05,Prestation digitale,291341,Mobile money,Oui
R000041,U0005,2025-07,Marketplace,214421,Cash,Non
R000042,U0005,2025-08,Commande WhatsApp,236549,Mobile money,Non
R000043,U0005,2025-08,Vente en ligne,224878,Mobile money,Oui
R000044,U0005,2025-12,Commande WhatsApp,86000,Mobile money,Oui
R000045,U0005,2025-12,Marketplace,214000,Mobile money,Non
R000046,U0005,2026-02,Commande WhatsApp,60605,Mobile money,Non
R000047,U0005,2026-03,Vente en ligne,158000,Mobile money,Oui
R000048,U0005,2026-03,Vente en ligne,104000,Virement,Oui
R000049,U0005,2026-05,Marketplace,127721,Mobile money,Oui
R000050,U0005,2026-05,Vente en ligne,80721,Mobile money,Oui
R000051,U0005,2026-05,Commande WhatsApp,117000,Mobile money,Non
R000052,U0005,2026-06,Vente en ligne,221552,Virement,Non
R000053,U0006,2025-07,Prestation,101000,Mobile money,Non
R000054,U0006,2026-01,Prestation,206000,Mobile money,Oui
R000055,U0006,2026-03,Maintenance,49000,Virement,Non
R000056,U0006,2026-03,Service client,160000,Mobile money,Oui
R000057,U0006,2026-03,Service client,39240,Cash,Oui
R000058,U0006,2026-04,Maintenance,235306,Mobile money,Non
R000059,U0006,2026-05,Prestation,164000,Mobile money,Non
R000060,U0006,2026-06,Maintenance,148000,Mobile money,Oui
R000061,U0007,2025-07,Livraisons,77336,Cash,Oui
R000062,U0007,2025-08,Livraisons,39860,Mobile money,Non
R000063,U0007,2025-08,Course directe,69000,Cash,Oui
R000064,U0007,2025-09,Bonus plateforme,93435,Mobile money,Oui
R000065,U0007,2025-10,Bonus plateforme,37863,Mobile money,Non
R000066,U0007,2025-10,Livraisons,31558,Mobile money,Non
R000067,U0007,2025-11,Bonus plateforme,24407,Cash,Non
R000068,U0007,2025-11,Course directe,140029,Mobile money,Non
R000069,U0007,2025-11,Livraisons,46536,Cash,Oui
R000070,U0007,2025-12,Livraisons,62885,Cash,Oui
R000071,U0007,2026-03,Course directe,76173,Cash,Oui
R000072,U0007,2026-03,Livraisons,123043,Mobile money,Oui
R000073,U0007,2026-03,Course directe,126421,Mobile money,Oui
R000074,U0007,2026-04,Livraisons,48618,Mobile money,Non
R000075,U0007,2026-04,Bonus plateforme,140000,Mobile money,Non
R000076,U0007,2026-04,Course directe,133000,Cash,Non
R000077,U0007,2026-05,Livraisons,30919,Virement,Oui
R000078,U0007,2026-05,Course directe,108686,Mobile money,Non
R000079,U0007,2026-06,Livraisons,96066,Mobile money,Oui
R000080,U0008,2025-07,Service client,223000,Cash,Oui
R000081,U0008,2025-07,Prestation,192000,Cash,Oui
R000082,U0008,2025-08,Prestation,71000,Mobile money,Non
R000083,U0008,2026-02,Prestation,173625,Mobile money,Non
R000084,U0008,2026-03,Prestation,217746,Mobile money,Oui
R000085,U0008,2026-06,Service client,69000,Mobile money,Oui
R000086,U0009,2025-07,Commande WhatsApp,200806,Mobile money,Non
R000087,U0009,2025-08,Marketplace,139000,Mobile money,Oui
R000088,U0009,2025-08,Commande WhatsApp,78513,Mobile money,Oui
R000089,U0009,2025-09,Commande WhatsApp,82327,Mobile money,Non
R000090,U0009,2025-10,Vente en ligne,114690,Cash,Oui
R000091,U0009,2025-11,Vente en ligne,65775,Mobile money,Oui
R000092,U0009,2025-11,Commande WhatsApp,62955,Cash,Oui
R000093,U0009,2026-01,Marketplace,40863,Mobile money,Oui
R000094,U0009,2026-01,Commande WhatsApp,223148,Mobile money,Oui
R000095,U0009,2026-02,Marketplace,44425,Cash,Non
R000096,U0009,2026-03,Commande WhatsApp,110456,Cash,Oui
R000097,U0009,2026-03,Commande WhatsApp,57637,Mobile money,Non
R000098,U0009,2026-04,Commande WhatsApp,42417,Cash,Non
R000099,U0009,2026-04,Marketplace,170778,Cash,Non
R000100,U0009,2026-04,Vente en ligne,137899,Mobile money,Non
R000101,U0009,2026-05,Vente en ligne,203032,Mobile money,Oui
R000102,U0009,2026-06,Commande WhatsApp,182351,Cash,Non
R000103,U0009,2026-06,Marketplace,214052,Cash,Non
R000104,U0009,2026-06,Commande WhatsApp,113330,Mobile money,Non
R000105,U0010,2025-08,Bonus plateforme,111000,Mobile money,Non
R000106,U0010,2025-08,Bonus plateforme,94000,Mobile money,Non
R000107,U0010,2025-10,Livraisons,104000,Virement,Oui
R000108,U0010,2025-12,Bonus plateforme,109000,Cash,Non
R000109,U0010,2026-01,Course directe,66000,Mobile money,Oui
R000110,U0010,2026-03,Livraisons,103515,Virement,Oui
R000111,U0010,2026-03,Livraisons,125000,Cash,Non
R000112,U0010,2026-04,Livraisons,117099,Virement,Oui
R000113,U0010,2026-04,Course directe,124000,Cash,Oui
R000114,U0010,2026-05,Bonus plateforme,51000,Cash,Non
R000115,U0011,2025-07,Vente en ligne,109000,Mobile money,Oui
R000116,U0011,2025-07,Marketplace,251921,Mobile money,Non
R000117,U0011,2025-08,Commande WhatsApp,176967,Mobile money,Non
R000118,U0011,2025-08,Commande WhatsApp,224665,Virement,Oui
R000119,U0011,2025-10,Marketplace,111000,Virement,Oui
R000120,U0011,2026-02,Marketplace,140000,Mobile money,Oui
R000121,U0012,2025-08,Commande WhatsApp,60000,Cash,Oui
R000122,U0012,2025-10,Commande WhatsApp,93000,Cash,Non
R000123,U0012,2025-11,Marketplace,192769,Virement,Non
R000124,U0012,2025-11,Marketplace,179928,Cash,Oui
R000125,U0012,2025-11,Commande WhatsApp,58882,Mobile money,Non
R000126,U0012,2025-12,Marketplace,39997,Virement,Non
R000127,U0012,2026-01,Marketplace,220000,Virement,Non
R000128,U0012,2026-02,Commande WhatsApp,72000,Mobile money,Oui
R000129,U0012,2026-02,Marketplace,145977,Mobile money,Non
R000130,U0012,2026-02,Vente en ligne,148469,Virement,Oui
R000131,U0012,2026-04,Vente en ligne,155123,Mobile money,Non
R000132,U0012,2026-06,Marketplace,174507,Virement,Oui
R000133,U0013,2025-07,Mission ponctuelle,143830,Virement,Non
R000134,U0013,2025-07,Petit commerce,141000,Virement,Oui
R000135,U0013,2025-08,Salaire partiel,124813,Mobile money,Oui
R000136,U0013,2025-10,Petit commerce,43233,Mobile money,Non
R000137,U0013,2025-12,Mission ponctuelle,105887,Virement,Oui
R000138,U0013,2025-12,Mission ponctuelle,114449,Cash,Non
R000139,U0013,2026-01,Mission ponctuelle,150425,Virement,Non
R000140,U0013,2026-02,Mission ponctuelle,27453,Mobile money,Non
R000141,U0013,2026-03,Mission ponctuelle,42757,Mobile money,Oui
R000142,U0013,2026-03,Salaire partiel,127289,Virement,Oui
R000143,U0013,2026-04,Petit commerce,160306,Cash,Non
R000144,U0013,2026-05,Petit commerce,49855,Virement,Non
R000145,U0013,2026-05,Salaire partiel,119443,Cash,Oui
R000146,U0013,2026-06,Petit commerce,49937,Cash,Oui
R000147,U0014,2025-07,Commande WhatsApp,99000,Mobile money,Oui
R000148,U0014,2025-08,Vente en ligne,204000,Mobile money,Non
R000149,U0014,2025-09,Marketplace,107000,Mobile money,Oui
R000150,U0014,2025-09,Vente en ligne,102000,Cash,Oui
R000151,U0014,2025-09,Commande WhatsApp,160657,Cash,Non
R000152,U0014,2025-10,Vente en ligne,38000,Virement,Non
R000153,U0014,2025-12,Commande WhatsApp,64929,Mobile money,Non
R000154,U0014,2025-12,Vente en ligne,127372,Mobile money,Oui
R000155,U0014,2026-02,Vente en ligne,122683,Cash,Non
R000156,U0014,2026-06,Vente en ligne,135000,Mobile money,Oui
R000157,U0015,2025-07,Maintenance,261936,Cash,Oui
R000158,U0015,2025-07,Service client,203501,Cash,Oui
R000159,U0015,2025-09,Prestation,48957,Cash,Oui
R000160,U0015,2025-09,Prestation,184000,Cash,Oui
R000161,U0015,2025-09,Prestation,210602,Cash,Oui
R000162,U0015,2025-11,Maintenance,90699,Mobile money,Non
R000163,U0015,2025-12,Maintenance,58000,Mobile money,Non
R000164,U0015,2026-01,Prestation,189000,Cash,Non
R000165,U0015,2026-02,Prestation,266440,Cash,Non
R000166,U0015,2026-02,Maintenance,171776,Virement,Oui
R000167,U0015,2026-02,Service client,126031,Virement,Non
R000168,U0015,2026-04,Service client,87774,Mobile money,Oui
R000169,U0015,2026-04,Service client,207634,Mobile money,Non
R000170,U0015,2026-04,Service client,253739,Mobile money,Oui
R000171,U0015,2026-05,Service client,219084,Virement,Oui
R000172,U0015,2026-05,Prestation,248046,Mobile money,Non
R000173,U0016,2025-09,Prestation digitale,195000,Mobile money,Non
R000174,U0016,2025-09,Prestation digitale,92000,Mobile money,Oui
R000175,U0016,2025-11,Mission freelance,224820,Mobile money,Non
R000176,U0016,2025-12,Mission freelance,157000,Mobile money,Oui
R000177,U0016,2026-04,Prestation digitale,61107,Mobile money,Non
R000178,U0016,2026-06,Mission freelance,247000,Mobile money,Oui
R000179,U0017,2025-11,Vente boutique,188000,Mobile money,Oui
R000180,U0017,2025-11,Vente boutique,298000,Mobile money,Non
R000181,U0017,2025-12,Service local,153837,Mobile money,Oui
R000182,U0017,2026-03,Commande client,217446,Cash,Non
R000183,U0017,2026-03,Commande client,310000,Virement,Oui
R000184,U0017,2026-03,Service local,317000,Mobile money,Oui
R000185,U0017,2026-05,Service local,253109,Cash,Oui
R000186,U0017,2026-05,Commande client,148561,Cash,Oui
R000187,U0018,2025-07,Bonus plateforme,129966,Mobile money,Oui
R000188,U0018,2025-07,Course directe,96000,Mobile money,Oui
R000189,U0018,2025-10,Livraisons,106341,Cash,Oui
R000190,U0018,2025-11,Bonus plateforme,151229,Mobile money,Oui
R000191,U0018,2025-11,Livraisons,127000,Mobile money,Oui
R000192,U0018,2025-12,Livraisons,127000,Cash,Oui
R000193,U0018,2026-03,Livraisons,97000,Mobile money,Oui
R000194,U0018,2026-03,Livraisons,47000,Cash,Non
R000195,U0018,2026-04,Course directe,76000,Cash,Oui
R000196,U0018,2026-05,Bonus plateforme,124000,Cash,Oui
R000197,U0019,2025-07,Commande client,150000,Virement,Oui
R000198,U0019,2025-09,Vente boutique,340833,Mobile money,Oui
R000199,U0019,2025-09,Commande client,77000,Mobile money,Non
R000200,U0019,2025-10,Commande client,244353,Mobile money,Non
R000201,U0019,2025-10,Service local,187000,Cash,Oui
R000202,U0019,2025-10,Commande client,62000,Virement,Oui
R000203,U0019,2025-11,Vente boutique,110000,Mobile money,Oui
R000204,U0019,2025-11,Vente boutique,120945,Mobile money,Non
R000205,U0019,2026-05,Commande client,277543,Cash,Non
R000206,U0019,2026-05,Service local,101646,Mobile money,Oui
R000207,U0020,2025-07,Commande WhatsApp,183000,Mobile money,Non
R000208,U0020,2025-07,Marketplace,167000,Mobile money,Oui
R000209,U0020,2025-10,Commande WhatsApp,163000,Cash,Oui
R000210,U0020,2025-11,Marketplace,197000,Mobile money,Oui
R000211,U0020,2025-12,Vente en ligne,208000,Mobile money,Oui
R000212,U0021,2025-07,Mission ponctuelle,175310,Cash,Non
R000213,U0021,2025-08,Petit commerce,193283,Mobile money,Oui
R000214,U0021,2025-08,Salaire partiel,111000,Mobile money,Non
R000215,U0021,2025-10,Salaire partiel,202220,Cash,Non
R000216,U0021,2025-12,Petit commerce,142539,Cash,Oui
R000217,U0021,2025-12,Petit commerce,136328,Cash,Non
R000218,U0021,2026-01,Mission ponctuelle,72261,Mobile money,Oui
R000219,U0021,2026-01,Salaire partiel,137734,Cash,Non
R000220,U0021,2026-02,Mission ponctuelle,158957,Mobile money,Oui
R000221,U0021,2026-03,Salaire partiel,149000,Mobile money,Oui
R000222,U0021,2026-03,Salaire partiel,99927,Cash,Non
R000223,U0021,2026-04,Petit commerce,96897,Mobile money,Non
R000224,U0021,2026-04,Petit commerce,39787,Cash,Non
R000225,U0021,2026-05,Petit commerce,55422,Virement,Non
R000226,U0022,2025-07,Marketplace,185296,Mobile money,Non
R000227,U0022,2025-08,Marketplace,174000,Mobile money,Non
R000228,U0022,2025-08,Marketplace,168000,Mobile money,Non
R000229,U0022,2025-10,Vente en ligne,76110,Virement,Non
R000230,U0022,2025-11,Commande WhatsApp,205305,Mobile money,Oui
R000231,U0022,2025-12,Marketplace,35621,Mobile money,Oui
R000232,U0022,2026-01,Marketplace,123000,Mobile money,Non
R000233,U0022,2026-03,Commande WhatsApp,88000,Mobile money,Oui
R000234,U0022,2026-03,Commande WhatsApp,79000,Cash,Non
R000235,U0022,2026-04,Vente en ligne,77000,Virement,Non
R000236,U0022,2026-05,Marketplace,219366,Mobile money,Oui
R000237,U0023,2025-07,Salaire partiel,101270,Cash,Oui
R000238,U0023,2025-08,Mission ponctuelle,112000,Mobile money,Oui
R000239,U0023,2025-09,Salaire partiel,182622,Cash,Oui
R000240,U0023,2025-09,Salaire partiel,135950,Cash,Non
R000241,U0023,2025-10,Mission ponctuelle,30415,Cash,Non
R000242,U0023,2025-10,Salaire partiel,104127,Mobile money,Oui
R000243,U0023,2025-11,Petit commerce,67707,Mobile money,Oui
R000244,U0023,2025-11,Mission ponctuelle,61445,Mobile money,Oui
R000245,U0023,2025-11,Petit commerce,147173,Mobile money,Non
R000246,U0023,2025-12,Petit commerce,193485,Cash,Non
R000247,U0023,2025-12,Petit commerce,180000,Virement,Non
R000248,U0023,2026-02,Mission ponctuelle,102735,Mobile money,Non
R000249,U0023,2026-03,Mission ponctuelle,82853,Cash,Oui
R000250,U0023,2026-03,Petit commerce,79373,Mobile money,Oui
R000251,U0023,2026-05,Salaire partiel,123607,Virement,Non
R000252,U0023,2026-06,Salaire partiel,40456,Mobile money,Oui
R000253,U0024,2025-07,Service client,120503,Virement,Oui
R000254,U0024,2025-07,Service client,51486,Cash,Non
R000255,U0024,2025-08,Prestation,43608,Mobile money,Oui
R000256,U0024,2025-09,Service client,150936,Mobile money,Non
R000257,U0024,2025-10,Service client,94582,Mobile money,Oui
R000258,U0024,2025-10,Maintenance,147225,Mobile money,Non
R000259,U0024,2025-11,Service client,233000,Mobile money,Non
R000260,U0024,2025-11,Maintenance,150000,Mobile money,Oui
R000261,U0024,2025-12,Prestation,49654,Mobile money,Oui
R000262,U0024,2026-01,Prestation,244643,Cash,Oui
R000263,U0024,2026-02,Prestation,192042,Virement,Non
R000264,U0024,2026-02,Maintenance,194000,Mobile money,Oui
R000265,U0024,2026-03,Maintenance,112580,Cash,Non
R000266,U0024,2026-04,Prestation,212695,Cash,Oui
R000267,U0024,2026-04,Service client,102188,Mobile money,Oui
R000268,U0025,2025-07,Maintenance,98499,Cash,Oui
R000269,U0025,2025-08,Service client,67544,Mobile money,Oui
R000270,U0025,2025-08,Maintenance,135000,Mobile money,Oui
R000271,U0025,2025-09,Maintenance,179198,Virement,Oui
R000272,U0025,2025-09,Prestation,138210,Cash,Oui
R000273,U0025,2025-10,Prestation,114898,Mobile money,Oui
R000274,U0025,2025-11,Prestation,261235,Virement,Non
R000275,U0025,2025-11,Maintenance,161564,Cash,Non
R000276,U0025,2025-12,Service client,78883,Mobile money,Oui
R000277,U0025,2025-12,Prestation,201243,Cash,Non
R000278,U0025,2025-12,Prestation,67981,Mobile money,Oui
R000279,U0025,2026-01,Prestation,222004,Cash,Non
R000280,U0025,2026-02,Service client,45333,Mobile money,Non
R000281,U0025,2026-02,Maintenance,176221,Cash,Non
R000282,U0025,2026-02,Prestation,96169,Mobile money,Oui
R000283,U0025,2026-03,Service client,267269,Mobile money,Non
R000284,U0025,2026-03,Service client,198826,Mobile money,Non
R000285,U0025,2026-04,Maintenance,212210,Mobile money,Oui
R000286,U0025,2026-04,Maintenance,171000,Mobile money,Non
R000287,U0025,2026-05,Service client,204444,Mobile money,Oui
R000288,U0025,2026-05,Prestation,75000,Mobile money,Non
R000289,U0025,2026-05,Maintenance,144880,Virement,Non
R000290,U0025,2026-06,Service client,107024,Mobile money,Non
R000291,U0025,2026-06,Maintenance,159710,Mobile money,Oui
R000292,U0025,2026-06,Prestation,167167,Mobile money,Oui
R000293,U0026,2025-09,Service local,100306,Mobile money,Non
R000294,U0026,2025-09,Service local,253000,Mobile money,Oui
R000295,U0026,2025-09,Vente boutique,224129,Mobile money,Non
R000296,U0026,2025-10,Commande client,131000,Cash,Oui
R000297,U0026,2025-10,Service local,168131,Cash,Oui
R000298,U0026,2025-12,Vente boutique,231334,Mobile money,Oui
R000299,U0026,2025-12,Service local,304000,Mobile money,Non
R000300,U0026,2026-04,Vente boutique,264790,Mobile money,Oui
R000301,U0026,2026-04,Service local,93170,Mobile money,Oui
R000302,U0026,2026-04,Commande client,72000,Mobile money,Oui
R000303,U0026,2026-05,Commande client,70084,Mobile money,Non
R000304,U0026,2026-05,Service local,139000,Mobile money,Oui
R000305,U0026,2026-05,Vente boutique,104000,Mobile money,Non
R000306,U0026,2026-06,Service local,288543,Mobile money,Non
R000307,U0027,2025-07,Service local,118000,Mobile money,Non
R000308,U0027,2025-08,Vente boutique,256000,Virement,Non
R000309,U0027,2025-08,Service local,153000,Mobile money,Non
R000310,U0027,2025-09,Service local,269410,Mobile money,Non
R000311,U0027,2025-11,Commande client,300000,Virement,Non
R000312,U0027,2026-04,Vente boutique,216667,Mobile money,Oui
R000313,U0027,2026-04,Commande client,109514,Virement,Oui
R000314,U0027,2026-05,Vente boutique,144866,Cash,Oui
R000315,U0027,2026-05,Vente boutique,175505,Virement,Non
R000316,U0027,2026-06,Vente boutique,181098,Mobile money,Non
R000317,U0028,2025-07,Mission ponctuelle,169877,Mobile money,Non
R000318,U0028,2025-07,Salaire partiel,115000,Cash,Oui
R000319,U0028,2025-07,Petit commerce,151296,Mobile money,Oui
R000320,U0028,2025-08,Petit commerce,143082,Mobile money,Non
R000321,U0028,2025-10,Petit commerce,122000,Virement,Oui
R000322,U0028,2025-12,Salaire partiel,77000,Mobile money,Non
R000323,U0028,2026-05,Petit commerce,127000,Cash,Non
R000324,U0028,2026-05,Mission ponctuelle,130932,Mobile money,Oui
R000325,U0028,2026-06,Petit commerce,100043,Mobile money,Oui
R000326,U0028,2026-06,Salaire partiel,168008,Mobile money,Non
R000327,U0029,2025-07,Livraisons,150081,Cash,Oui
R000328,U0029,2025-07,Course directe,118858,Mobile money,Oui
R000329,U0029,2025-08,Course directe,34306,Mobile money,Oui
R000330,U0029,2025-08,Bonus plateforme,73000,Cash,Non
R000331,U0029,2025-08,Bonus plateforme,123817,Mobile money,Oui
R000332,U0029,2025-09,Course directe,54114,Mobile money,Oui
R000333,U0029,2025-10,Bonus plateforme,123000,Mobile money,Non
R000334,U0029,2025-10,Course directe,169023,Cash,Non
R000335,U0029,2025-11,Bonus plateforme,102559,Mobile money,Oui
R000336,U0029,2025-12,Course directe,179913,Mobile money,Oui
R000337,U0029,2025-12,Bonus plateforme,94671,Mobile money,Oui
R000338,U0029,2025-12,Livraisons,39185,Cash,Oui
R000339,U0029,2026-02,Bonus plateforme,151235,Cash,Oui
R000340,U0029,2026-03,Bonus plateforme,101000,Mobile money,Oui
R000341,U0029,2026-04,Bonus plateforme,91503,Cash,Oui
R000342,U0030,2025-07,Maintenance,82019,Mobile money,Oui
R000343,U0030,2025-09,Service client,156502,Mobile money,Non
R000344,U0030,2025-09,Prestation,198649,Virement,Non
R000345,U0030,2025-09,Maintenance,58373,Virement,Non
R000346,U0030,2025-11,Prestation,149000,Mobile money,Non
R000347,U0030,2025-11,Prestation,83266,Cash,Oui
R000348,U0030,2026-01,Prestation,208774,Mobile money,Non
R000349,U0030,2026-03,Service client,136000,Mobile money,Non
R000350,U0030,2026-03,Prestation,49669,Cash,Non
R000351,U0030,2026-03,Prestation,50000,Mobile money,Non
R000352,U0031,2025-07,Contrat ponctuel,253164,Cash,Oui
R000353,U0031,2025-07,Prestation digitale,160005,Mobile money,Non
R000354,U0031,2025-08,Mission freelance,108165,Mobile money,Non
R000355,U0031,2025-08,Prestation digitale,144270,Mobile money,Oui
R000356,U0031,2025-08,Contrat ponctuel,175180,Cash,Oui
R000357,U0031,2025-09,Contrat ponctuel,157013,Mobile money,Non
R000358,U0031,2025-10,Prestation digitale,86786,Mobile money,Oui
R000359,U0031,2025-11,Contrat ponctuel,242000,Virement,Oui
R000360,U0031,2025-11,Mission freelance,248776,Cash,Non
R000361,U0031,2025-11,Mission freelance,240105,Mobile money,Oui
R000362,U0031,2025-12,Prestation digitale,74255,Mobile money,Non
R000363,U0031,2026-01,Prestation digitale,144052,Mobile money,Oui
R000364,U0031,2026-02,Mission freelance,261090,Virement,Non
R000365,U0031,2026-03,Contrat ponctuel,130049,Mobile money,Oui
R000366,U0031,2026-03,Prestation digitale,134947,Cash,Oui
R000367,U0031,2026-05,Mission freelance,47277,Cash,Oui
R000368,U0031,2026-05,Mission freelance,85893,Mobile money,Oui
R000369,U0031,2026-06,Mission freelance,280667,Mobile money,Oui
R000370,U0032,2025-07,Service client,109605,Mobile money,Non
R000371,U0032,2025-07,Service client,207845,Mobile money,Non
R000372,U0032,2025-08,Service client,79709,Mobile money,Non
R000373,U0032,2025-08,Prestation,236000,Mobile money,Non
R000374,U0032,2025-08,Service client,109319,Mobile money,Non
R000375,U0032,2025-09,Maintenance,159247,Mobile money,Oui
R000376,U0032,2026-01,Maintenance,53711,Mobile money,Non
R000377,U0032,2026-01,Maintenance,174440,Mobile money,Non
R000378,U0032,2026-02,Prestation,141124,Virement,Non
R000379,U0032,2026-02,Maintenance,91000,Mobile money,Non
R000380,U0032,2026-04,Maintenance,71000,Virement,Non
R000381,U0032,2026-04,Maintenance,217381,Cash,Oui
R000382,U0032,2026-04,Prestation,122000,Virement,Non
R000383,U0032,2026-06,Prestation,67735,Virement,Non
R000384,U0032,2026-06,Maintenance,107000,Cash,Non
R000385,U0033,2025-09,Mission freelance,151000,Mobile money,Non
R000386,U0033,2025-09,Contrat ponctuel,191000,Mobile money,Oui
R000387,U0033,2025-09,Mission freelance,154000,Mobile money,Oui
R000388,U0033,2025-12,Mission freelance,53000,Mobile money,Oui
R000389,U0033,2026-01,Mission freelance,228051,Mobile money,Non
R000390,U0033,2026-02,Mission freelance,245438,Virement,Non
R000391,U0033,2026-02,Prestation digitale,198000,Mobile money,Oui
R000392,U0033,2026-03,Mission freelance,102000,Mobile money,Non
R000393,U0034,2026-02,Vente en ligne,174072,Mobile money,Non
R000394,U0034,2026-04,Commande WhatsApp,225808,Mobile money,Non
R000395,U0034,2026-04,Vente en ligne,88000,Mobile money,Non
R000396,U0034,2026-04,Commande WhatsApp,180000,Mobile money,Oui
R000397,U0034,2026-05,Commande WhatsApp,167000,Mobile money,Oui
R000398,U0034,2026-06,Vente en ligne,213000,Mobile money,Non
R000399,U0034,2026-06,Commande WhatsApp,52551,Mobile money,Non
R000400,U0035,2025-10,Maintenance,70000,Cash,Oui
R000401,U0035,2025-10,Service client,136574,Mobile money,Non
R000402,U0035,2025-12,Prestation,81000,Mobile money,Non
R000403,U0035,2026-02,Prestation,83620,Mobile money,Non
R000404,U0035,2026-03,Maintenance,110000,Mobile money,Non
R000405,U0035,2026-03,Service client,170483,Mobile money,Non
R000406,U0035,2026-03,Service client,222000,Virement,Non
R000407,U0035,2026-05,Maintenance,224000,Mobile money,Non
R000408,U0035,2026-05,Service client,62561,Cash,Oui
R000409,U0035,2026-06,Prestation,87267,Mobile money,Oui
R000410,U0036,2025-07,Prestation digitale,166957,Mobile money,Oui
R000411,U0036,2025-08,Prestation digitale,61000,Cash,Oui
R000412,U0036,2025-09,Contrat ponctuel,226520,Mobile money,Oui
R000413,U0036,2025-09,Mission freelance,84366,Virement,Non
R000414,U0036,2025-11,Mission freelance,145000,Cash,Oui
R000415,U0036,2025-12,Prestation digitale,224167,Mobile money,Oui
R000416,U0036,2025-12,Mission freelance,76055,Mobile money,Oui
R000417,U0036,2026-01,Prestation digitale,96672,Virement,Non
R000418,U0036,2026-01,Mission freelance,170000,Cash,Non
R000419,U0036,2026-01,Contrat ponctuel,105000,Virement,Oui
R000420,U0036,2026-02,Contrat ponctuel,121529,Mobile money,Oui
R000421,U0036,2026-03,Contrat ponctuel,56000,Mobile money,Oui
R000422,U0036,2026-03,Prestation digitale,132000,Cash,Oui
R000423,U0036,2026-03,Contrat ponctuel,118000,Cash,Oui
R000424,U0036,2026-04,Contrat ponctuel,74888,Mobile money,Oui
R000425,U0036,2026-04,Prestation digitale,88838,Cash,Non
R000426,U0036,2026-04,Prestation digitale,248631,Virement,Non
R000427,U0036,2026-06,Contrat ponctuel,184980,Cash,Oui
R000428,U0037,2025-07,Livraisons,118000,Mobile money,Non
R000429,U0037,2025-10,Bonus plateforme,182355,Mobile money,Oui
R000430,U0037,2025-11,Livraisons,111982,Virement,Non
R000431,U0037,2025-11,Livraisons,75000,Virement,Oui
R000432,U0037,2025-12,Bonus plateforme,74430,Cash,Non
R000433,U0037,2026-03,Course directe,149544,Mobile money,Non
R000434,U0037,2026-04,Livraisons,65651,Virement,Oui
R000435,U0038,2025-07,Petit commerce,170000,Mobile money,Oui
R000436,U0038,2025-08,Petit commerce,175000,Mobile money,Oui
R000437,U0038,2025-08,Mission ponctuelle,49000,Mobile money,Oui
R000438,U0038,2025-08,Petit commerce,62998,Cash,Non
R000439,U0038,2025-09,Petit commerce,43417,Virement,Oui
