id_score,id_utilisateur,mois,score_revenu,score_paiement,score_activite,score_recommandation,score_transaction,score_anciennete,score_completude,score_global,classe_risque,recommandation_decisionnelle,plafond_microcredit_simule
S000066,U0006,2025-12,26.7,50.7,10.0,50.0,54.0,72.2,75,42.4,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000067,U0006,2026-01,26.7,56.9,0,37.5,51.0,72.2,75,40.4,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000068,U0006,2026-02,26.7,62.4,0,37.5,40.0,72.2,75,39.9,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000069,U0006,2026-03,50.5,62.9,33.3,66.2,44.0,72.2,75,54.4,C,Profil moyen : à accompagner avant décision.,15000
S000070,U0006,2026-04,62.7,51.4,74.2,62.5,58.0,72.2,75,63.0,C,Profil moyen : à accompagner avant décision.,15000
S000071,U0006,2026-05,72.1,48.7,82.9,65.9,74.0,72.2,75,68.9,B,Profil fiable : éligible avec vérification complémentaire.,35564
S000072,U0006,2026-06,82.5,62.0,88.6,67.5,74.0,72.2,75,75.1,B,Profil fiable : éligible avec vérification complémentaire.,41731
S000073,U0007,2025-07,85.0,100,100,85.0,68.0,16.7,100,81.6,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,50000
S000074,U0007,2025-08,94.9,100,100,86.9,74.0,16.7,100,85.2,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,50000
S000075,U0007,2025-09,95.9,82.3,100,86.9,77.0,16.7,100,82.3,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,50000
S000076,U0007,2025-10,94.8,85.2,100,83.8,84.0,16.7,100,83.4,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,50000
S000077,U0007,2025-11,86.3,78.0,100,82.5,91.0,16.7,100,80.7,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,50000
S000078,U0007,2025-12,85.5,82.4,100,81.0,95.0,16.7,100,81.9,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,50000
S000079,U0007,2026-01,73.6,84.0,100,80.0,89.0,16.7,100,78.2,B,Profil fiable : éligible avec vérification complémentaire.,30000
S000080,U0007,2026-02,60.2,84.0,96.7,77.1,85.0,16.7,100,73.5,B,Profil fiable : éligible avec vérification complémentaire.,30000
S000081,U0007,2026-03,57.1,92.1,96.7,79.2,85.0,16.7,100,74.5,B,Profil fiable : éligible avec vérification complémentaire.,30000
S000082,U0007,2026-04,62.7,92.1,96.7,80.8,85.0,16.7,100,76.1,B,Profil fiable : éligible avec vérification complémentaire.,38379
S000083,U0007,2026-05,60.5,92.1,96.7,80.4,85.0,16.7,100,75.5,B,Profil fiable : éligible avec vérification complémentaire.,35406
S000084,U0007,2026-06,62.5,91.4,96.7,81.8,84.0,16.7,100,75.9,B,Profil fiable : éligible avec vérification complémentaire.,36788
S000085,U0008,2025-07,85.0,100,100,75.0,66.0,44.4,100,83.1,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,145250
S000086,U0008,2025-08,78.8,100,100,70.0,68.0,44.4,100,81.3,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,85050
S000087,U0008,2025-09,55.4,70.2,96.7,70.0,70.0,44.4,100,69.3,B,Profil fiable : éligible avec vérification complémentaire.,40500
S000088,U0008,2025-10,43.8,74.4,92.5,70.0,55.0,44.4,100,64.4,C,Profil moyen : à accompagner avant décision.,15000
S000089,U0008,2025-11,36.8,70.5,90.0,70.0,46.0,44.4,100,60.1,C,Profil moyen : à accompagner avant décision.,15000
S000090,U0008,2025-12,32.1,75.8,88.3,70.0,40.0,44.4,100,58.9,C,Profil moyen : à accompagner avant décision.,15000
S000091,U0008,2026-01,26.7,73.4,84.2,65.0,24.0,44.4,100,53.5,C,Profil moyen : à accompagner avant décision.,15000
S000092,U0008,2026-02,26.7,73.4,84.2,77.5,28.0,44.4,100,55.4,C,Profil moyen : à accompagner avant décision.,15000
S000093,U0008,2026-03,50.0,81.9,88.3,76.0,30.0,44.4,100,63.7,C,Profil moyen : à accompagner avant décision.,15000
S000094,U0008,2026-04,50.0,83.5,88.3,76.0,31.0,44.4,100,64.1,C,Profil moyen : à accompagner avant décision.,15000
S000095,U0008,2026-05,50.0,90.5,88.3,76.0,43.0,44.4,100,67.3,B,Profil fiable : éligible avec vérification complémentaire.,30000
S000096,U0008,2026-06,52.8,90.5,92.5,76.0,55.0,44.4,100,70.5,B,Profil fiable : éligible avec vérification complémentaire.,30000
S000097,U0009,2025-07,85.0,40.5,60.0,50.0,66.0,100,100,68.3,B,Profil fiable : éligible avec vérification complémentaire.,50201
S000098,U0009,2025-08,98.8,46.1,100,70.0,73.0,100,100,81.9,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,73205
S000099,U0009,2025-09,89.2,55.1,100,77.5,76.0,100,100,82.5,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,58408
S000100,U0009,2025-10,88.9,51.6,100,78.5,80.0,100,100,82.4,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,53841
S000101,U0009,2025-11,89.6,57.0,100,79.1,87.0,100,100,84.8,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,52084
S000102,U0009,2025-12,77.9,64.8,100,79.1,78.0,100,100,82.0,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,50000
S000103,U0009,2026-01,75.7,70.0,92.8,79.7,77.0,100,100,81.4,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,50000
S000104,U0009,2026-02,70.7,79.1,94.2,79.4,73.0,100,100,81.5,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,50000
S000105,U0009,2026-03,73.3,81.0,92.8,81.2,75.0,100,100,82.8,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,50000
S000106,U0009,2026-04,71.6,83.3,84.8,82.2,73.0,100,100,81.5,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,55787
S000107,U0009,2026-05,73.5,75.2,84.8,80.5,72.0,100,100,80.0,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,60121
S000108,U0009,2026-06,82.9,75.2,92.7,78.3,89.0,100,100,85.8,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,89855
S000109,U0010,2025-07,0,13.8,0.0,50.0,1.0,100,75,21.7,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000110,U0010,2025-08,50.0,27.4,65.0,65.0,37.0,100,75,53.5,C,Profil moyen : à accompagner avant décision.,15000
S000111,U0010,2025-09,38.3,16.4,60.8,65.0,49.0,100,75,49.6,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000112,U0010,2025-10,55.2,16.0,70.5,65.0,59.0,100,75,56.7,C,Profil moyen : à accompagner avant décision.,15000
S000113,U0010,2025-11,48.2,12.2,68.0,65.0,50.0,100,75,52.4,C,Profil moyen : à accompagner avant décision.,15000
S000114,U0010,2025-12,55.0,10.4,70.5,65.0,62.0,100,75,56.0,C,Profil moyen : à accompagner avant décision.,15000
S000115,U0010,2026-01,64.0,18.0,78.3,63.3,74.0,100,75,62.5,C,Profil moyen : à accompagner avant décision.,15000
S000116,U0010,2026-02,58.8,11.2,92.5,60.0,58.0,100,75,59.3,C,Profil moyen : à accompagner avant décision.,15000
S000117,U0010,2026-03,62.2,21.9,96.7,60.0,60.0,100,75,63.2,C,Profil moyen : à accompagner avant décision.,15000
S000118,U0010,2026-04,62.6,19.0,96.7,77.5,61.0,100,75,64.6,C,Profil moyen : à accompagner avant décision.,15000
S000119,U0010,2026-05,71.0,17.0,78.8,65.5,75.0,100,75,64.5,C,Profil moyen : à accompagner avant décision.,15000
S000120,U0010,2026-06,58.6,16.3,74.7,65.5,58.0,100,75,58.1,C,Profil moyen : à accompagner avant décision.,15000
S000121,U0011,2025-07,85.0,55.4,50.0,53.8,67.0,100,75,69.0,B,Profil fiable : éligible avec vérification complémentaire.,90230
S000122,U0011,2025-08,98.4,51.5,55.0,58.3,73.0,100,75,73.7,B,Profil fiable : éligible avec vérification complémentaire.,95319
S000123,U0011,2025-09,75.1,61.2,46.7,58.3,53.0,100,75,65.5,B,Profil fiable : éligible avec vérification complémentaire.,63546
S000124,U0011,2025-10,69.3,62.4,44.3,62.2,64.0,100,75,66.0,B,Profil fiable : éligible avec vérification complémentaire.,54597
S000125,U0011,2025-11,58.8,47.3,40.6,62.2,69.0,100,75,60.6,C,Profil moyen : à accompagner avant décision.,20965
S000126,U0011,2025-12,51.8,55.4,38.1,62.2,61.0,100,75,58.9,C,Profil moyen : à accompagner avant décision.,17471
S000127,U0011,2026-01,36.3,49.1,34.0,64.6,45.0,100,75,51.0,C,Profil moyen : à accompagner avant décision.,15000
S000128,U0011,2026-02,49.9,45.9,43.3,63.8,47.0,100,75,55.3,C,Profil moyen : à accompagner avant décision.,15000
S000129,U0011,2026-03,49.9,37.7,43.3,63.8,59.0,100,75,55.5,C,Profil moyen : à accompagner avant décision.,15000
S000130,U0011,2026-04,26.7,27.8,57.5,57.5,55.0,100,75,48.6,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000131,U0011,2026-05,26.7,27.6,57.5,57.5,55.0,100,75,48.6,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000132,U0011,2026-06,26.7,14.2,57.5,57.5,56.0,100,75,46.0,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000133,U0012,2025-07,0,55.7,0.0,50.0,62.0,50.0,75,34.2,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000134,U0012,2025-08,50.0,77.8,92.5,85.0,69.0,50.0,75,69.5,B,Profil fiable : éligible avec vérification complémentaire.,30000
S000135,U0012,2025-09,38.3,50.2,88.3,85.0,50.0,50.0,75,57.6,C,Profil moyen : à accompagner avant décision.,15000
S000136,U0012,2025-10,58.5,57.3,76.5,74.0,57.0,50.0,75,62.3,C,Profil moyen : à accompagner avant décision.,15000
S000137,U0012,2025-11,46.1,62.6,72.1,75.4,65.0,50.0,75,60.9,C,Profil moyen : à accompagner avant décision.,15000
S000138,U0012,2025-12,46.7,66.8,76.7,73.4,72.0,50.0,75,63.4,C,Profil moyen : à accompagner avant décision.,15000
S000139,U0012,2026-01,62.5,73.7,84.8,72.2,73.0,50.0,75,70.0,B,Profil fiable : éligible avec vérification complémentaire.,35190
S000140,U0012,2026-02,68.6,70.0,78.3,70.4,71.0,50.0,75,69.3,B,Profil fiable : éligible avec vérification complémentaire.,47959
S000141,U0012,2026-03,68.6,100,78.3,70.4,70.0,50.0,75,75.2,B,Profil fiable : éligible avec vérification complémentaire.,47959
S000142,U0012,2026-04,70.8,100,83.6,70.0,74.0,50.0,75,77.1,B,Profil fiable : éligible avec vérification complémentaire.,50547
S000143,U0012,2026-05,58.6,100,84.4,68.1,71.0,50.0,75,73.5,B,Profil fiable : éligible avec vérification complémentaire.,32565
S000144,U0012,2026-06,65.8,88.7,84.4,68.6,69.0,50.0,75,72.8,B,Profil fiable : éligible avec vérification complémentaire.,38169
S000145,U0013,2025-07,85.0,100,60.0,50.0,63.0,80.6,75,76.5,B,Profil fiable : éligible avec vérification complémentaire.,71207
S000146,U0013,2025-08,88.3,100,60.0,50.0,65.0,80.6,75,77.6,B,Profil fiable : éligible avec vérification complémentaire.,51205
S000147,U0013,2025-09,64.9,100,40.0,50.0,67.0,80.6,75,69.1,B,Profil fiable : éligible avec vérification complémentaire.,34136
S000148,U0013,2025-10,62.6,91.3,98.8,96.2,72.0,80.6,75,80.9,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,50000
S000149,U0013,2025-11,52.1,92.1,95.0,96.2,61.0,80.6,75,76.3,B,Profil fiable : éligible avec vérification complémentaire.,30000
S000150,U0013,2025-12,60.3,93.8,96.7,93.3,69.0,80.6,75,79.8,B,Profil fiable : éligible avec vérification complémentaire.,30000
S000151,U0013,2026-01,62.6,93.3,96.7,90.0,72.0,80.6,75,80.4,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,50000
S000152,U0013,2026-02,55.1,92.1,96.7,89.6,78.0,80.6,75,79.2,B,Profil fiable : éligible avec vérification complémentaire.,30000
S000153,U0013,2026-03,70.0,92.1,100,87.2,80.0,80.6,75,83.4,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,50000
S000154,U0013,2026-04,75.2,100,100,84.2,80.0,80.6,75,86.0,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,50000
S000155,U0013,2026-05,88.2,100,100,83.9,91.0,80.6,75,90.9,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,52375
S000156,U0013,2026-06,85.4,100,100,82.9,87.0,80.6,75,89.5,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,50000
S000157,U0014,2025-07,85.0,100,60.0,50.0,68.0,58.3,45,73.5,B,Profil fiable : éligible avec vérification complémentaire.,30000
S000158,U0014,2025-08,89.6,100,100,60.0,75.0,58.3,45,82.7,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,53025
S000159,U0014,2025-09,85.1,82.3,50.0,56.2,83.0,58.3,45,71.4,B,Profil fiable : éligible avec vérification complémentaire.,56054
S000160,U0014,2025-10,78.8,59.8,77.5,61.3,90.0,58.3,45,71.0,B,Profil fiable : éligible avec vérification complémentaire.,44416
S000161,U0014,2025-11,64.8,64.8,72.5,61.3,79.0,58.3,45,66.1,B,Profil fiable : éligible avec vérification complémentaire.,35532
S000162,U0014,2025-12,69.6,63.1,56.8,57.0,88.0,58.3,45,65.5,B,Profil fiable : éligible avec vérification complémentaire.,37623
S000163,U0014,2026-01,59.1,63.1,52.7,57.0,71.0,58.3,45,59.7,C,Profil moyen : à accompagner avant décision.,16079
S000164,U0014,2026-02,56.4,63.1,41.7,57.1,66.0,58.3,45,56.7,C,Profil moyen : à accompagner avant décision.,15000
S000165,U0014,2026-03,48.9,68.8,48.5,58.0,48.0,58.3,45,54.3,C,Profil moyen : à accompagner avant décision.,15000
S000166,U0014,2026-04,46.7,89.0,15.0,52.5,31.0,58.3,45,49.7,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000167,U0014,2026-05,46.7,77.8,15.0,52.5,30.0,58.3,45,47.3,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000168,U0014,2026-06,51.9,75.2,33.3,58.7,26.0,58.3,45,50.9,C,Profil moyen : à accompagner avant décision.,15000
S000169,U0015,2025-07,85.0,100,60.0,50.0,63.0,100,75,78.5,B,Profil fiable : éligible avec vérification complémentaire.,116359
S000170,U0015,2025-08,50.0,100,30.0,50.0,65.0,100,75,65.5,B,Profil fiable : éligible avec vérification complémentaire.,58179
S000171,U0015,2025-09,75.9,100,96.7,97.5,70.0,100,75,87.5,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,106049
S000172,U0015,2025-10,64.3,100,92.5,97.5,72.0,100,75,84.2,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,79537
S000173,U0015,2025-11,56.5,100,95.0,97.5,78.0,100,75,83.6,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,69978
S000174,U0015,2025-12,55.0,100,96.7,97.5,68.0,100,75,82.0,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,61698
S000175,U0015,2026-01,53.4,93.3,96.7,97.5,67.0,100,75,80.1,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,50000
S000176,U0015,2026-02,66.0,86.7,100,94.5,72.0,100,75,82.8,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,78487
S000177,U0015,2026-03,49.9,87.6,96.7,92.5,69.0,100,75,77.8,B,Profil fiable : éligible avec vérification complémentaire.,37581
S000178,U0015,2026-04,65.4,86.7,100,88.8,74.0,100,75,82.4,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,84647
S000179,U0015,2026-05,71.5,86.7,100,84.6,71.0,100,75,83.1,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,106605
S000180,U0015,2026-06,66.4,87.6,96.7,84.6,71.0,100,75,81.5,A,Profil très fiable : priorité pour offre pilote ou micro-crédit encadré.,103222
S000181,U0016,2025-07,0,56.0,0.0,50.0,62.0,19.4,100,32.4,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000182,U0016,2025-08,0,78.0,0.0,50.0,64.0,19.4,100,37.1,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000183,U0016,2025-09,38.3,82.4,61.7,81.7,67.0,19.4,100,60.5,C,Profil moyen : à accompagner avant décision.,15000
S000184,U0016,2025-10,32.5,87.4,59.6,81.7,53.0,19.4,100,57.6,C,Profil moyen : à accompagner avant décision.,15000
S000185,U0016,2025-11,54.4,91.2,63.3,81.7,45.0,19.4,100,63.2,C,Profil moyen : à accompagner avant décision.,15000
S000186,U0016,2025-12,57.9,92.7,60.5,82.5,56.0,19.4,100,65.7,B,Profil fiable : éligible avec vérification complémentaire.,30000
S000187,U0016,2026-01,57.9,92.2,60.5,82.5,44.0,19.4,100,63.8,C,Profil moyen : à accompagner avant décision.,15000
S000188,U0016,2026-02,57.9,84.5,60.5,82.5,44.0,19.4,100,62.2,C,Profil moyen : à accompagner avant décision.,15000
S000189,U0016,2026-03,48.0,86.7,48.3,83.7,31.0,19.4,100,56.6,C,Profil moyen : à accompagner avant décision.,15000
S000190,U0016,2026-04,51.4,81.7,65.8,84.2,48.0,19.4,100,61.6,C,Profil moyen : à accompagner avant décision.,15000
S000191,U0016,2026-05,40.1,74.0,61.7,84.2,48.0,19.4,100,56.7,C,Profil moyen : à accompagner avant décision.,15000
S000192,U0016,2026-06,35.2,74.0,88.3,85.0,32.0,19.4,100,57.1,C,Profil moyen : à accompagner avant décision.,15000
S000193,U0017,2025-07,0,100,0.0,50.0,1.0,50.0,100,35.1,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000194,U0017,2025-08,0,55.7,0.0,50.0,2.0,50.0,100,26.4,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000195,U0017,2025-09,0,29.8,0.0,50.0,2.0,50.0,100,21.3,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000196,U0017,2025-10,0,30.2,0.0,50.0,2.0,50.0,100,21.3,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000197,U0017,2025-11,29.0,25.8,0,35.0,20.0,50.0,100,28.9,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
S000198,U0017,2025-12,37.8,21.8,0,35.0,19.0,50.0,100,30.2,D,Profil fragile ou données insuffisantes : accompagnement recommandé.,0
