id_mission,id_utilisateur,type_mission,date_debut,date_fin,montant_mission,statut_mission,note_client
M000033,U0004,Livraison,2026-03-14,2026-03-18,136000,Terminée,5.0
M000034,U0004,Rédaction,2026-03-05,2026-03-06,13000,Terminée,4.8
M000035,U0004,Prestation,2026-04-18,2026-04-24,38000,Terminée,5
M000036,U0004,Développement,2026-04-16,2026-04-19,117000,Terminée,4.1
M000037,U0004,Rédaction,2026-04-07,2026-04-15,60000,Terminée,4.2
M000038,U0005,Prestation,2025-07-14,2025-07-15,147000,Terminée,3.7
M000039,U0005,Design,2025-07-07,2025-07-12,52000,Annulée,2.9
M000040,U0005,Vente,2025-08-10,2025-08-18,57000,Annulée,1.6
M000041,U0005,Développement,2025-08-17,2025-08-19,109000,Terminée,3.9
M000042,U0005,Prestation,2025-08-18,2025-08-23,44000,Terminée,3.8
M000043,U0005,Livraison,2025-12-19,2025-12-23,78000,Terminée,3.8
M000044,U0005,Formation,2025-12-13,2025-12-20,93000,Terminée,3.5
M000045,U0005,Livraison,2025-12-19,2025-12-20,29000,Terminée,3.3
M000046,U0005,Formation,2026-02-15,2026-02-21,172000,Annulée,2.9
M000047,U0005,Rédaction,2026-03-19,2026-03-23,20000,En cours,2.2
M000048,U0005,Formation,2026-03-05,2026-03-11,113000,Terminée,3.4
M000049,U0005,Développement,2026-05-17,2026-05-18,160000,Terminée,4.3
M000050,U0005,Rédaction,2026-05-20,2026-05-21,84000,Annulée,1.9
M000051,U0006,Rédaction,2026-01-11,2026-01-13,155000,Annulée,2.5
M000052,U0006,Maintenance,2026-03-12,2026-03-19,83000,Terminée,4.8
M000053,U0006,Prestation,2026-04-12,2026-04-18,144000,Terminée,3.9
M000054,U0006,Rédaction,2026-04-20,2026-04-25,132000,Terminée,3.0
M000055,U0006,Développement,2026-04-06,2026-04-12,121000,Terminée,3.2
M000056,U0006,Livraison,2026-04-03,2026-04-06,100000,Terminée,3.6
M000057,U0006,Développement,2026-05-17,2026-05-20,17000,Terminée,3.3
M000058,U0006,Formation,2026-05-15,2026-05-20,154000,Terminée,4.8
M000059,U0006,Prestation,2026-06-10,2026-06-15,118000,Terminée,4.2
M000060,U0007,Développement,2025-07-02,2025-07-07,113000,Terminée,4.4
M000061,U0007,Formation,2025-07-06,2025-07-10,76000,Terminée,4.4
M000062,U0007,Maintenance,2025-08-18,2025-08-24,125000,Terminée,4.1
M000063,U0007,Design,2025-08-13,2025-08-19,45000,Terminée,5.0
M000064,U0007,Rédaction,2025-10-07,2025-10-11,148000,Terminée,4.5
M000065,U0007,Développement,2025-10-18,2025-10-25,38000,Terminée,3.7
M000066,U0007,Livraison,2025-11-11,2025-11-19,55000,Terminée,4.0
M000067,U0007,Développement,2025-12-05,2025-12-13,157000,Terminée,3.8
M000068,U0007,Vente,2025-12-08,2025-12-10,80000,Terminée,4.6
M000069,U0007,Maintenance,2025-12-19,2025-12-21,39000,Terminée,3.9
M000070,U0007,Prestation,2026-03-02,2026-03-07,111000,Terminée,4.5
M000071,U0007,Design,2026-03-18,2026-03-23,69000,Terminée,4.8
M000072,U0007,Livraison,2026-03-13,2026-03-17,119000,Terminée,3.9
M000073,U0007,Développement,2026-03-14,2026-03-19,169000,Terminée,4.0
M000074,U0007,Prestation,2026-04-20,2026-04-24,166000,Terminée,4.2
M000075,U0007,Design,2026-04-12,2026-04-14,135000,Terminée,4.6
M000076,U0007,Développement,2026-05-15,2026-05-23,34000,Terminée,3.9
M000077,U0007,Livraison,2026-05-06,2026-05-09,113000,Terminée,4.0
M000078,U0007,Vente,2026-05-15,2026-05-17,76000,Terminée,4.4
M000079,U0007,Design,2026-06-08,2026-06-13,172000,Terminée,4.4
M000080,U0008,Développement,2025-07-04,2025-07-09,96000,Terminée,4.0
M000081,U0008,Prestation,2025-08-09,2025-08-11,91000,Terminée,3.6
M000082,U0008,Design,2026-02-10,2026-02-11,166000,Terminée,4.1
M000083,U0008,Maintenance,2026-02-15,2026-02-16,37000,Terminée,4.1
M000084,U0008,Livraison,2026-03-15,2026-03-18,34000,Terminée,4.0
M000085,U0008,Formation,2026-03-04,2026-03-12,91000,Terminée,4.2
M000086,U0008,Vente,2026-03-08,2026-03-11,172000,Terminée,3.8
M000087,U0009,Maintenance,2025-08-02,2025-08-03,159000,Terminée,3.8
M000088,U0009,Prestation,2025-09-09,2025-09-12,171000,Terminée,4.6
M000089,U0009,Prestation,2025-09-01,2025-09-03,168000,Terminée,4.0
M000090,U0009,Formation,2025-09-12,2025-09-15,78000,Terminée,4.0
M000091,U0009,Prestation,2025-10-05,2025-10-12,13000,Terminée,4.3
M000092,U0009,Vente,2025-11-20,2025-11-22,41000,Terminée,3.7
M000093,U0009,Développement,2025-11-13,2025-11-16,39000,Terminée,4.2
M000094,U0009,Livraison,2025-11-15,2025-11-20,122000,Terminée,4.7
M000095,U0009,Développement,2026-01-18,2026-01-19,111000,Terminée,4.0
M000096,U0009,Livraison,2026-01-12,2026-01-20,32000,En cours,4.6
M000097,U0009,Livraison,2026-02-15,2026-02-18,165000,Terminée,4.3
M000098,U0009,Vente,2026-02-03,2026-02-07,122000,Terminée,4.0
M000099,U0009,Rédaction,2026-02-11,2026-02-13,161000,Terminée,3.7
M000100,U0009,Développement,2026-03-20,2026-03-21,166000,Terminée,5
M000101,U0009,Vente,2026-04-14,2026-04-18,108000,En cours,4.7
M000102,U0009,Développement,2026-05-19,2026-05-23,33000,Terminée,4.4
M000103,U0009,Formation,2026-05-07,2026-05-15,131000,Terminée,4.1
M000104,U0009,Vente,2026-05-08,2026-05-14,124000,Terminée,3.4
M000105,U0009,Maintenance,2026-06-02,2026-06-04,110000,Terminée,3.9
M000106,U0009,Développement,2026-06-18,2026-06-20,157000,Terminée,3.9
M000107,U0009,Vente,2026-06-05,2026-06-11,73000,Terminée,3.7
M000108,U0010,Développement,2025-08-18,2025-08-23,58000,Annulée,3.2
M000109,U0010,Développement,2025-08-06,2025-08-10,41000,Terminée,3.1
M000110,U0010,Maintenance,2025-08-19,2025-08-22,126000,Terminée,3.9
M000111,U0010,Design,2025-08-11,2025-08-17,49000,Terminée,4.2
M000112,U0010,Maintenance,2025-10-10,2025-10-18,157000,Terminée,3.6
M000113,U0010,Formation,2026-01-14,2026-01-20,53000,Terminée,3.2
M000114,U0010,Rédaction,2026-04-14,2026-04-18,145000,Terminée,4.7
M000115,U0010,Livraison,2026-04-15,2026-04-17,146000,Terminée,4.5
M000116,U0010,Maintenance,2026-04-10,2026-04-11,32000,Terminée,4.0
M000117,U0010,Rédaction,2026-05-16,2026-05-21,49000,Annulée,1.7
M000118,U0011,Rédaction,2025-07-20,2025-07-26,85000,Terminée,4.1
M000119,U0011,Design,2025-07-19,2025-07-20,44000,Annulée,2.2
M000120,U0011,Rédaction,2025-08-08,2025-08-10,162000,Terminée,3.7
M000121,U0011,Formation,2025-08-14,2025-08-18,101000,Annulée,2.8
M000122,U0011,Prestation,2025-08-17,2025-08-22,123000,En cours,4.0
M000123,U0011,Maintenance,2025-08-07,2025-08-14,115000,Terminée,3.2
M000124,U0011,Formation,2025-10-01,2025-10-02,32000,Terminée,3.8
M000125,U0011,Prestation,2025-10-03,2025-10-10,105000,En cours,4.2
M000126,U0011,Développement,2025-10-08,2025-10-10,160000,Annulée,3.4
M000127,U0011,Développement,2026-02-01,2026-02-08,62000,En cours,3.5
M000128,U0011,Maintenance,2026-02-19,2026-02-21,39000,Terminée,2.7
M000129,U0011,Développement,2026-02-20,2026-02-27,94000,Terminée,3.7
M000130,U0012,Vente,2025-08-10,2025-08-13,54000,Terminée,4.4
M000131,U0012,Développement,2025-10-04,2025-10-09,139000,En cours,3.6
M000132,U0012,Prestation,2025-10-20,2025-10-23,104000,Terminée,4.4
M000133,U0012,Formation,2025-10-15,2025-10-22,135000,Terminée,3.7
M000134,U0012,Rédaction,2025-10-03,2025-10-10,107000,Terminée,3.7
M000135,U0012,Livraison,2025-11-15,2025-11-18,58000,En cours,4.3
M000136,U0012,Design,2025-11-03,2025-11-10,88000,Terminée,4.0
M000137,U0012,Vente,2025-12-03,2025-12-08,131000,Terminée,3.4
M000138,U0012,Livraison,2026-01-09,2026-01-16,134000,Terminée,3.7
M000139,U0012,Formation,2026-01-14,2026-01-15,52000,Terminée,3.7
M000140,U0012,Design,2026-02-03,2026-02-09,123000,Terminée,4.2
M000141,U0012,Formation,2026-02-09,2026-02-15,103000,Terminée,4.7
M000142,U0012,Prestation,2026-02-05,2026-02-07,23000,Annulée,2.4
M000143,U0012,Maintenance,2026-04-01,2026-04-09,48000,Terminée,4.0
M000144,U0012,Livraison,2026-04-03,2026-04-09,93000,Terminée,3.6
M000145,U0012,Développement,2026-04-14,2026-04-15,113000,Terminée,3.8
M000146,U0012,Prestation,2026-06-19,2026-06-22,109000,Terminée,3.6
M000147,U0013,Design,2025-10-04,2025-10-07,15000,Terminée,4.7
M000148,U0013,Formation,2025-10-03,2025-10-09,115000,Terminée,5
M000149,U0013,Rédaction,2025-12-15,2025-12-17,177000,Terminée,4.5
M000150,U0013,Maintenance,2026-01-01,2026-01-04,179000,Terminée,4.2
M000151,U0013,Vente,2026-02-16,2026-02-22,20000,Terminée,5
M000152,U0013,Vente,2026-02-01,2026-02-05,177000,Terminée,4.1
M000153,U0013,Design,2026-03-16,2026-03-23,16000,Terminée,4.2
M000154,U0013,Prestation,2026-03-08,2026-03-10,134000,Terminée,4.2
M000155,U0013,Design,2026-05-14,2026-05-20,61000,Terminée,4.3
M000156,U0013,Développement,2026-06-01,2026-06-07,13000,Terminée,4.2
M000157,U0014,Formation,2025-08-16,2025-08-24,80000,Terminée,3.4
M000158,U0014,Prestation,2025-09-10,2025-09-16,116000,Annulée,3.1
M000159,U0014,Vente,2025-10-16,2025-10-18,96000,Terminée,3.4
M000160,U0014,Formation,2025-10-10,2025-10-12,55000,Terminée,3.9
M000161,U0014,Design,2025-12-08,2025-12-11,82000,Annulée,2.6
M000162,U0014,Vente,2026-02-15,2026-02-16,176000,Annulée,2.8
M000163,U0014,Livraison,2026-02-13,2026-02-18,126000,Terminée,3.9
M000164,U0015,Prestation,2025-09-16,2025-09-18,104000,Terminée,4.8
M000165,U0015,Rédaction,2025-09-05,2025-09-13,15000,Terminée,5.0
M000166,U0015,Développement,2025-11-01,2025-11-03,34000,Terminée,4.9
M000167,U0015,Développement,2026-02-01,2026-02-03,149000,Terminée,4.3
M000168,U0015,Vente,2026-02-12,2026-02-20,172000,Terminée,4.9
M000169,U0015,Livraison,2026-04-03,2026-04-09,165000,Terminée,4.1
M000170,U0015,Design,2026-05-06,2026-05-14,113000,Terminée,4.9
M000171,U0015,Développement,2026-05-01,2026-05-08,98000,Terminée,3.6
M000172,U0015,Formation,2026-05-12,2026-05-19,113000,Terminée,4.5
M000173,U0016,Développement,2025-09-13,2025-09-14,113000,Terminée,4.0
M000174,U0016,Formation,2025-09-03,2025-09-05,64000,En cours,4.6
M000175,U0016,Développement,2025-09-01,2025-09-09,92000,Terminée,4.2
M000176,U0016,Développement,2025-12-14,2025-12-17,93000,En cours,4.3
M000177,U0016,Vente,2025-12-03,2025-12-08,43000,Terminée,4.4
M000178,U0016,Vente,2026-04-01,2026-04-08,150000,Terminée,4.4
M000179,U0017,Rédaction,2025-11-02,2025-11-07,60000,Annulée,2.4
M000180,U0017,Formation,2026-03-17,2026-03-22,90000,Annulée,2.1
M000181,U0017,Prestation,2026-03-18,2026-03-20,55000,Terminée,4.4
M000182,U0017,Rédaction,2026-05-04,2026-05-07,13000,Annulée,2.3
M000183,U0018,Rédaction,2025-07-05,2025-07-06,69000,Terminée,3.8
M000184,U0018,Prestation,2025-07-08,2025-07-15,39000,Terminée,4.1
M000185,U0018,Livraison,2025-07-08,2025-07-10,84000,Terminée,3.8
M000186,U0018,Vente,2025-10-13,2025-10-20,154000,Terminée,3.8
M000187,U0018,Formation,2025-10-18,2025-10-22,111000,Terminée,3.9
M000188,U0018,Vente,2025-10-03,2025-10-07,105000,Terminée,3.5
M000189,U0018,Prestation,2025-11-19,2025-11-24,70000,Terminée,4.7
M000190,U0018,Rédaction,2025-11-05,2025-11-09,115000,Terminée,5
M000191,U0018,Vente,2025-12-18,2025-12-22,177000,Annulée,2.0
M000192,U0018,Livraison,2025-12-19,2025-12-20,158000,Annulée,2.5
M000193,U0018,Design,2025-12-11,2025-12-13,91000,Terminée,3.8
M000194,U0018,Développement,2026-03-04,2026-03-12,20000,Terminée,4.3
M000195,U0018,Prestation,2026-03-13,2026-03-20,172000,Annulée,1.8
M000196,U0018,Vente,2026-04-13,2026-04-19,27000,Terminée,4.5
M000197,U0018,Formation,2026-04-04,2026-04-09,129000,Terminée,4.0
M000198,U0018,Formation,2026-05-14,2026-05-18,78000,Terminée,4.9
M000199,U0018,Rédaction,2026-05-11,2026-05-16,53000,Terminée,4.3
M000200,U0018,Rédaction,2026-05-16,2026-05-24,150000,Terminée,4.4
M000201,U0019,Rédaction,2025-07-14,2025-07-20,102000,Annulée,2.4
M000202,U0019,Maintenance,2025-07-04,2025-07-07,130000,Terminée,4.6
M000203,U0019,Développement,2025-07-18,2025-07-21,152000,Terminée,3.9
M000204,U0019,Rédaction,2025-07-10,2025-07-12,33000,Annulée,1.7
M000205,U0019,Développement,2025-09-17,2025-09-19,176000,Terminée,4.6
M000206,U0019,Formation,2025-10-01,2025-10-08,29000,Terminée,3.8
M000207,U0019,Rédaction,2025-11-07,2025-11-12,55000,Terminée,3.8
M000208,U0019,Prestation,2025-11-13,2025-11-15,163000,Annulée,2.7
M000209,U0019,Formation,2026-05-16,2026-05-18,108000,Annulée,1.7
M000210,U0020,Prestation,2025-07-03,2025-07-09,156000,Annulée,2.0
M000211,U0020,Formation,2025-10-17,2025-10-24,39000,Terminée,3.3
M000212,U0020,Vente,2025-11-06,2025-11-12,28000,Terminée,3.1
M000213,U0020,Formation,2025-12-16,2025-12-22,153000,Terminée,3.6
M000214,U0020,Design,2025-12-12,2025-12-17,97000,Annulée,3.0
M000215,U0021,Prestation,2025-07-02,2025-07-09,43000,Terminée,3.9
M000216,U0021,Design,2025-07-15,2025-07-23,24000,Terminée,3.7
M000217,U0021,Livraison,2025-08-08,2025-08-12,37000,Terminée,5
M000218,U0021,Formation,2025-08-13,2025-08-14,42000,Terminée,3.6
M000219,U0021,Vente,2025-08-18,2025-08-23,171000,En cours,3.9
M000220,U0021,Prestation,2025-10-05,2025-10-11,164000,Annulée,2.2
M000221,U0021,Rédaction,2025-10-03,2025-10-04,18000,Annulée,1.8
M000222,U0021,Livraison,2025-12-11,2025-12-14,178000,Terminée,4.0
M000223,U0021,Formation,2025-12-17,2025-12-23,103000,En cours,4.2
M000224,U0021,Design,2026-01-12,2026-01-14,119000,Terminée,3.7
M000225,U0021,Formation,2026-01-05,2026-01-10,21000,Terminée,3.8
M000226,U0021,Formation,2026-01-17,2026-01-21,102000,Terminée,3.6
M000227,U0021,Vente,2026-02-02,2026-02-04,25000,Terminée,4.7
M000228,U0021,Développement,2026-02-10,2026-02-11,92000,Terminée,3.7
M000229,U0021,Prestation,2026-02-05,2026-02-12,135000,En cours,3.6
M000230,U0021,Rédaction,2026-03-18,2026-03-19,90000,Terminée,4.0
M000231,U0021,Design,2026-04-15,2026-04-16,132000,Terminée,2.8
M000232,U0021,Prestation,2026-05-09,2026-05-10,103000,Terminée,4.2
M000233,U0021,Livraison,2026-05-03,2026-05-11,40000,Terminée,4.0
M000234,U0022,Maintenance,2025-08-08,2025-08-16,93000,En cours,4.2
M000235,U0022,Rédaction,2025-08-12,2025-08-14,102000,Terminée,4.2
M000236,U0022,Formation,2025-10-04,2025-10-07,19000,Annulée,1.5
M000237,U0022,Développement,2025-10-03,2025-10-06,145000,Annulée,3.3
M000238,U0022,Rédaction,2025-11-10,2025-11-16,111000,Terminée,4.1
M000239,U0022,Vente,2025-11-14,2025-11-19,161000,Annulée,2.1
M000240,U0022,Prestation,2026-04-14,2026-04-22,95000,Terminée,4.2
M000241,U0022,Rédaction,2026-04-04,2026-04-07,132000,Annulée,2.8
M000242,U0022,Maintenance,2026-04-13,2026-04-16,137000,Annulée,3.2
M000243,U0022,Rédaction,2026-04-08,2026-04-09,86000,Terminée,4.2
M000244,U0023,Formation,2025-08-13,2025-08-18,123000,Terminée,5
M000245,U0023,Rédaction,2025-08-18,2025-08-23,137000,Terminée,4.2
M000246,U0023,Vente,2025-09-11,2025-09-19,137000,Terminée,3.9
M000247,U0023,Livraison,2025-09-04,2025-09-11,30000,Terminée,4.4
M000248,U0023,Vente,2025-10-12,2025-10-13,60000,Terminée,4.1
M000249,U0023,Rédaction,2025-11-12,2025-11-15,17000,Terminée,4.9
M000250,U0023,Développement,2026-03-02,2026-03-09,51000,Terminée,3.8
M000251,U0023,Vente,2026-03-14,2026-03-20,179000,Terminée,4.5
M000252,U0023,Maintenance,2026-05-15,2026-05-22,53000,Terminée,4.1
M000253,U0023,Développement,2026-05-07,2026-05-10,89000,Terminée,4.7
M000254,U0023,Livraison,2026-06-11,2026-06-18,57000,Terminée,5
M000255,U0024,Livraison,2025-07-05,2025-07-06,98000,Annulée,2.9
M000256,U0024,Développement,2025-09-09,2025-09-11,124000,Annulée,3.1
M000257,U0024,Développement,2025-10-13,2025-10-18,116000,Terminée,4.9
M000258,U0024,Formation,2025-10-18,2025-10-24,32000,Terminée,3.2
M000259,U0024,Rédaction,2025-11-08,2025-11-15,140000,Terminée,3.9
M000260,U0024,Développement,2025-11-06,2025-11-13,86000,Terminée,5
M000261,U0024,Maintenance,2026-01-03,2026-01-11,139000,Terminée,4.2
M000262,U0024,Vente,2026-02-05,2026-02-10,170000,Terminée,3.7
M000263,U0024,Formation,2026-04-04,2026-04-07,138000,Terminée,4.6
M000264,U0024,Formation,2026-04-06,2026-04-09,27000,Terminée,3.8
M000265,U0025,Rédaction,2025-07-02,2025-07-04,25000,Annulée,2.1
M000266,U0025,Design,2025-08-05,2025-08-07,178000,Terminée,3.2
M000267,U0025,Design,2025-08-17,2025-08-18,144000,Terminée,3.9
M000268,U0025,Vente,2025-09-19,2025-09-25,161000,Terminée,3.7
M000269,U0025,Développement,2025-09-04,2025-09-05,150000,Annulée,3.2
M000270,U0025,Rédaction,2025-10-13,2025-10-15,103000,Terminée,3.3
M000271,U0025,Maintenance,2025-11-09,2025-11-15,17000,Annulée,2.2
M000272,U0025,Prestation,2025-12-05,2025-12-11,121000,Terminée,4.1
M000273,U0025,Design,2025-12-13,2025-12-14,62000,Annulée,1.5
M000274,U0025,Rédaction,2026-01-18,2026-01-20,142000,Terminée,4.2
M000275,U0025,Développement,2026-02-13,2026-02-15,164000,Annulée,1.8
M000276,U0025,Formation,2026-02-05,2026-02-10,96000,Terminée,3.9
M000277,U0025,Livraison,2026-02-20,2026-02-28,71000,Annulée,2.1
M000278,U0025,Livraison,2026-02-18,2026-02-26,50000,Terminée,3.9
M000279,U0025,Rédaction,2026-03-02,2026-03-08,180000,Annulée,3.2
M000280,U0025,Formation,2026-04-12,2026-04-18,125000,Annulée,3.0
M000281,U0026,Livraison,2025-10-16,2025-10-20,168000,Terminée,3.6
M000282,U0026,Vente,2025-12-03,2025-12-08,164000,Annulée,2.6
M000283,U0026,Développement,2025-12-11,2025-12-12,150000,Terminée,3.6
M000284,U0026,Prestation,2025-12-13,2025-12-17,102000,Annulée,1.6
M000285,U0026,Prestation,2026-04-06,2026-04-12,131000,Terminée,3.6
M000286,U0026,Prestation,2026-05-20,2026-05-27,128000,Annulée,2.0
M000287,U0026,Formation,2026-05-20,2026-05-25,100000,Annulée,2.8
M000288,U0026,Vente,2026-06-20,2026-06-26,131000,Terminée,3.5
M000289,U0026,Rédaction,2026-06-12,2026-06-17,66000,Terminée,3.3
M000290,U0027,Design,2025-07-11,2025-07-13,92000,Annulée,2.2
M000291,U0027,Développement,2025-07-07,2025-07-12,27000,Terminée,3.8
M000292,U0027,Maintenance,2025-07-19,2025-07-27,135000,Terminée,3.8
M000293,U0027,Maintenance,2025-08-09,2025-08-13,145000,Terminée,4.0
M000294,U0027,Design,2025-08-16,2025-08-22,54000,Terminée,3.7
M000295,U0027,Formation,2025-08-14,2025-08-20,21000,Terminée,4.1
M000296,U0027,Formation,2025-08-03,2025-08-09,155000,Terminée,4.4
M000297,U0027,Livraison,2025-09-01,2025-09-04,38000,Terminée,2.9
M000298,U0027,Développement,2025-09-12,2025-09-14,50000,Annulée,2.0
M000299,U0027,Design,2025-11-03,2025-11-06,62000,Terminée,4.1
M000300,U0027,Prestation,2026-04-08,2026-04-12,138000,Annulée,2.5
M000301,U0027,Maintenance,2026-05-19,2026-05-23,165000,Annulée,3.1
M000302,U0027,Vente,2026-05-16,2026-05-24,15000,Terminée,3.3
M000303,U0027,Livraison,2026-05-13,2026-05-16,173000,Terminée,3.2
M000304,U0028,Design,2025-07-17,2025-07-18,45000,Terminée,4.1
M000305,U0028,Design,2025-08-18,2025-08-19,24000,Terminée,4.0
M000306,U0028,Rédaction,2025-10-06,2025-10-10,169000,Terminée,3.7
M000307,U0028,Vente,2025-12-03,2025-12-05,10000,En cours,3.5
M000308,U0028,Prestation,2025-12-01,2025-12-06,127000,Terminée,3.6
M000309,U0028,Rédaction,2026-05-03,2026-05-08,46000,Terminée,3.9
M000310,U0028,Vente,2026-06-01,2026-06-02,18000,Terminée,4.6
M000311,U0028,Vente,2026-06-06,2026-06-08,28000,Terminée,4.6
M000312,U0028,Maintenance,2026-06-13,2026-06-14,167000,Terminée,4.1
M000313,U0028,Rédaction,2026-06-12,2026-06-16,90000,Terminée,3.8
M000314,U0029,Formation,2025-07-06,2025-07-14,87000,En cours,3.8
M000315,U0029,Design,2025-07-10,2025-07-16,122000,Terminée,4.6
M000316,U0029,Vente,2025-08-05,2025-08-07,16000,Terminée,4.8
M000317,U0029,Développement,2025-08-07,2025-08-15,153000,Terminée,4.1
M000318,U0029,Livraison,2025-10-05,2025-10-06,107000,Terminée,4.3
M000319,U0029,Rédaction,2025-11-07,2025-11-10,87000,Terminée,3.8
M000320,U0029,Livraison,2025-12-14,2025-12-18,20000,Annulée,2.6
M000321,U0029,Formation,2026-03-14,2026-03-20,94000,Terminée,3.4
M000322,U0029,Vente,2026-04-19,2026-04-23,20000,Annulée,2.2
M000323,U0030,Design,2025-07-03,2025-07-10,46000,Terminée,3.2
M000324,U0030,Développement,2025-09-01,2025-09-03,48000,En cours,4.2
M000325,U0030,Prestation,2026-01-08,2026-01-16,139000,Annulée,2.3
M000326,U0030,Prestation,2026-03-06,2026-03-08,140000,Terminée,4.0
M000327,U0031,Design,2025-07-15,2025-07-20,151000,Annulée,2.4
M000328,U0031,Prestation,2025-07-11,2025-07-12,117000,Terminée,4.0
M000329,U0031,Maintenance,2025-08-04,2025-08-09,91000,Annulée,2.9
M000330,U0031,Livraison,2025-08-03,2025-08-06,42000,Annulée,1.5
M000331,U0031,Vente,2025-09-16,2025-09-22,18000,Terminée,3.5
M000332,U0031,Livraison,2025-09-17,2025-09-24,66000,Terminée,4.5
M000333,U0031,Design,2025-10-04,2025-10-05,89000,Terminée,4.8
M000334,U0031,Développement,2025-11-19,2025-11-21,175000,En cours,4.1
M000335,U0031,Livraison,2025-12-08,2025-12-11,21000,Terminée,4.1
M000336,U0031,Livraison,2025-12-13,2025-12-16,67000,Terminée,4.2
M000337,U0031,Prestation,2026-01-14,2026-01-15,76000,Terminée,3.9
M000338,U0031,Design,2026-01-15,2026-01-20,63000,Terminée,4.1
M000339,U0031,Livraison,2026-03-04,2026-03-12,46000,Terminée,4.2
M000340,U0031,Design,2026-03-09,2026-03-10,164000,Terminée,4.5
M000341,U0031,Prestation,2026-05-14,2026-05-17,27000,Annulée,1.8
M000342,U0031,Rédaction,2026-05-01,2026-05-04,108000,Terminée,4.5
M000343,U0031,Livraison,2026-06-18,2026-06-26,113000,Annulée,2.7
M000344,U0031,Développement,2026-06-02,2026-06-05,151000,Annulée,3.1
M000345,U0032,Formation,2025-08-10,2025-08-18,147000,Annulée,1.7
M000346,U0032,Développement,2025-08-10,2025-08-11,92000,Terminée,4.4
M000347,U0032,Design,2025-09-12,2025-09-17,55000,Annulée,2.3
M000348,U0032,Maintenance,2026-01-18,2026-01-21,87000,Terminée,4.1
M000349,U0032,Livraison,2026-01-16,2026-01-23,91000,Terminée,3.1
M000350,U0032,Développement,2026-04-14,2026-04-18,55000,Annulée,1.8
M000351,U0032,Vente,2026-04-20,2026-04-23,29000,Terminée,3.6
M000352,U0032,Livraison,2026-04-03,2026-04-08,20000,Annulée,3.2
M000353,U0032,Prestation,2026-06-10,2026-06-11,40000,Terminée,4.0
M000354,U0032,Design,2026-06-17,2026-06-25,61000,Terminée,3.7
M000355,U0033,Maintenance,2025-09-20,2025-09-26,74000,Annulée,2.5
M000356,U0033,Design,2025-09-10,2025-09-11,100000,Annulée,3.3
M000357,U0033,Rédaction,2026-02-06,2026-02-07,128000,Annulée,3.0
M000358,U0033,Rédaction,2026-02-05,2026-02-08,100000,Terminée,4.7
M000359,U0033,Prestation,2026-03-10,2026-03-15,165000,Terminée,4.7
M000360,U0034,Livraison,2026-02-15,2026-02-23,170000,Terminée,3.9
M000361,U0034,Rédaction,2026-02-18,2026-02-21,173000,Terminée,3.7
