id_transaction,id_utilisateur,date_transaction,type_transaction,canal,montant,categorie
T0000068,U0003,2025-09-18,Sortie,Mobile money,55000,Fournisseur
T0000069,U0003,2025-09-14,Entrée,Cash,38000,Transfert reçu
T0000070,U0003,2025-09-26,Entrée,Virement,144500,Paiement client
T0000071,U0003,2025-09-18,Entrée,Mobile money,127500,Dépôt
T0000072,U0003,2025-09-11,Sortie,Mobile money,67000,Transfert envoyé
T0000073,U0003,2025-09-01,Entrée,Cash,59500,Dépôt
T0000074,U0003,2025-10-22,Sortie,Virement,33500,Dépense activité
T0000075,U0003,2025-10-19,Entrée,Mobile money,59500,Vente
T0000076,U0003,2025-11-07,Entrée,Mobile money,149500,Paiement client
T0000077,U0003,2025-11-10,Sortie,Mobile money,72000,Fournisseur
T0000078,U0003,2025-12-23,Sortie,Virement,24000,Transport
T0000079,U0003,2025-12-08,Sortie,Mobile money,48000,Transfert envoyé
T0000080,U0003,2025-12-24,Sortie,Mobile money,41000,Fournisseur
T0000081,U0003,2025-12-13,Sortie,Cash,76000,Dépense activité
T0000082,U0003,2025-12-06,Sortie,Mobile money,5000,Transfert envoyé
T0000083,U0003,2026-01-06,Sortie,Mobile money,30500,Transfert envoyé
T0000084,U0003,2026-01-01,Entrée,Mobile money,79500,Vente
T0000085,U0003,2026-02-01,Sortie,Mobile money,13500,Retrait
T0000086,U0003,2026-02-28,Entrée,Mobile money,126000,Vente
T0000087,U0003,2026-02-22,Entrée,Mobile money,130000,Transfert reçu
T0000088,U0003,2026-02-12,Entrée,Mobile money,50500,Transfert reçu
T0000089,U0003,2026-02-09,Sortie,Mobile money,7000,Fournisseur
T0000090,U0003,2026-02-02,Entrée,Mobile money,150000,Dépôt
T0000091,U0003,2026-02-22,Entrée,Mobile money,24500,Vente
T0000092,U0003,2026-02-02,Entrée,Mobile money,147000,Paiement client
T0000093,U0003,2026-03-19,Entrée,Virement,133500,Vente
T0000094,U0003,2026-05-13,Sortie,Virement,12500,Dépense activité
T0000095,U0003,2026-06-02,Sortie,Cash,32000,Transport
T0000096,U0003,2026-06-11,Sortie,Virement,3500,Transport
T0000097,U0003,2026-06-28,Sortie,Mobile money,65500,Transport
T0000098,U0003,2026-06-10,Sortie,Cash,18500,Retrait
T0000099,U0003,2026-06-24,Sortie,Mobile money,36500,Transport
T0000100,U0003,2026-06-07,Entrée,Mobile money,118000,Paiement client
T0000101,U0003,2026-06-28,Sortie,Mobile money,68500,Fournisseur
T0000102,U0004,2025-07-27,Sortie,Mobile money,49500,Transport
T0000103,U0004,2025-07-08,Entrée,Mobile money,10000,Vente
T0000104,U0004,2025-08-14,Entrée,Mobile money,74000,Dépôt
T0000105,U0004,2025-08-07,Sortie,Mobile money,34000,Fournisseur
T0000106,U0004,2025-08-01,Entrée,Mobile money,29000,Transfert reçu
T0000107,U0004,2025-08-21,Entrée,Mobile money,149000,Dépôt
T0000108,U0004,2025-08-03,Sortie,Mobile money,64000,Dépense activité
T0000109,U0004,2025-08-09,Entrée,Mobile money,74500,Dépôt
T0000110,U0004,2025-08-05,Sortie,Virement,25500,Transport
T0000111,U0004,2025-08-22,Entrée,Mobile money,108000,Vente
T0000112,U0004,2025-09-08,Sortie,Cash,12500,Transport
T0000113,U0004,2025-09-26,Entrée,Mobile money,112000,Dépôt
T0000114,U0004,2025-09-15,Sortie,Mobile money,39500,Transfert envoyé
T0000115,U0004,2025-09-20,Sortie,Mobile money,77000,Transfert envoyé
T0000116,U0004,2025-09-17,Entrée,Virement,102000,Vente
T0000117,U0004,2025-09-07,Entrée,Cash,38000,Paiement client
T0000118,U0004,2025-10-22,Sortie,Mobile money,58000,Transport
T0000119,U0004,2025-10-25,Sortie,Mobile money,48000,Fournisseur
T0000120,U0004,2025-10-08,Entrée,Virement,7000,Transfert reçu
T0000121,U0004,2025-10-19,Entrée,Virement,7500,Paiement client
T0000122,U0004,2025-10-21,Entrée,Cash,100500,Vente
T0000123,U0004,2025-11-04,Entrée,Virement,76000,Vente
T0000124,U0004,2025-11-25,Sortie,Mobile money,27000,Transfert envoyé
T0000125,U0004,2025-11-23,Entrée,Mobile money,96000,Paiement client
T0000126,U0004,2025-12-10,Entrée,Mobile money,121500,Paiement client
T0000127,U0004,2025-12-28,Entrée,Cash,12500,Paiement client
T0000128,U0004,2025-12-24,Entrée,Mobile money,113500,Dépôt
T0000129,U0004,2025-12-28,Entrée,Mobile money,4500,Vente
T0000130,U0004,2025-12-15,Entrée,Mobile money,95500,Dépôt
T0000131,U0004,2025-12-27,Sortie,Mobile money,50000,Dépense activité
T0000132,U0004,2025-12-09,Entrée,Cash,121500,Transfert reçu
T0000133,U0004,2026-02-28,Entrée,Mobile money,9500,Dépôt
T0000134,U0004,2026-02-16,Sortie,Mobile money,64500,Retrait
T0000135,U0004,2026-03-08,Entrée,Cash,86000,Transfert reçu
T0000136,U0004,2026-03-21,Entrée,Mobile money,146500,Paiement client
T0000137,U0004,2026-03-15,Entrée,Mobile money,122500,Vente
T0000138,U0004,2026-03-11,Sortie,Mobile money,59500,Fournisseur
T0000139,U0004,2026-03-13,Entrée,Mobile money,29000,Vente
T0000140,U0004,2026-03-26,Entrée,Mobile money,26000,Vente
T0000141,U0004,2026-03-18,Sortie,Mobile money,67500,Transport
T0000142,U0004,2026-03-27,Entrée,Mobile money,97000,Dépôt
T0000143,U0004,2026-04-25,Sortie,Cash,17000,Transfert envoyé
T0000144,U0004,2026-04-05,Sortie,Mobile money,67000,Transfert envoyé
T0000145,U0004,2026-05-13,Entrée,Mobile money,73500,Paiement client
T0000146,U0004,2026-06-21,Sortie,Mobile money,73500,Transport
T0000147,U0005,2025-07-25,Sortie,Mobile money,27500,Transport
T0000148,U0005,2025-07-20,Entrée,Mobile money,29000,Transfert reçu
T0000149,U0005,2025-07-13,Sortie,Mobile money,74500,Retrait
T0000150,U0005,2025-08-20,Sortie,Cash,43500,Retrait
T0000151,U0005,2025-08-26,Entrée,Virement,130500,Dépôt
T0000152,U0005,2025-08-08,Sortie,Mobile money,70000,Transport
T0000153,U0005,2025-08-14,Sortie,Mobile money,22000,Transfert envoyé
T0000154,U0005,2025-08-07,Entrée,Mobile money,60000,Dépôt
T0000155,U0005,2025-10-26,Entrée,Virement,137000,Dépôt
T0000156,U0005,2025-10-11,Entrée,Mobile money,52500,Dépôt
T0000157,U0005,2025-12-10,Entrée,Mobile money,24500,Dépôt
T0000158,U0005,2025-12-16,Sortie,Mobile money,5000,Fournisseur
T0000159,U0005,2025-12-10,Entrée,Cash,145000,Transfert reçu
T0000160,U0005,2025-12-18,Sortie,Cash,2500,Transport
T0000161,U0005,2025-12-19,Sortie,Cash,1500,Dépense activité
T0000162,U0005,2025-12-07,Sortie,Mobile money,41000,Dépense activité
T0000163,U0005,2026-01-28,Sortie,Cash,75500,Retrait
T0000164,U0005,2026-01-03,Entrée,Mobile money,146000,Transfert reçu
T0000165,U0005,2026-02-06,Sortie,Mobile money,57000,Transport
T0000166,U0005,2026-02-09,Entrée,Mobile money,116500,Paiement client
T0000167,U0005,2026-02-15,Sortie,Cash,64000,Transport
T0000168,U0005,2026-03-17,Sortie,Mobile money,62000,Retrait
T0000169,U0005,2026-03-28,Entrée,Mobile money,64500,Vente
T0000170,U0005,2026-03-05,Sortie,Virement,68500,Retrait
T0000171,U0005,2026-03-12,Entrée,Cash,128500,Paiement client
T0000172,U0005,2026-03-09,Entrée,Mobile money,18500,Paiement client
T0000173,U0005,2026-03-26,Entrée,Cash,138000,Paiement client
T0000174,U0005,2026-03-02,Entrée,Mobile money,14000,Transfert reçu
T0000175,U0005,2026-03-27,Sortie,Mobile money,37000,Transfert envoyé
T0000176,U0005,2026-04-13,Entrée,Virement,137500,Paiement client
T0000177,U0005,2026-04-20,Entrée,Virement,128500,Transfert reçu
T0000178,U0005,2026-05-27,Sortie,Virement,30000,Retrait
T0000179,U0005,2026-05-09,Entrée,Cash,136000,Paiement client
T0000180,U0005,2026-05-08,Entrée,Mobile money,20000,Transfert reçu
T0000181,U0005,2026-05-17,Entrée,Cash,55000,Vente
T0000182,U0005,2026-05-20,Sortie,Mobile money,20500,Fournisseur
T0000183,U0005,2026-05-17,Entrée,Mobile money,141500,Vente
T0000184,U0005,2026-06-04,Sortie,Mobile money,76500,Transfert envoyé
T0000185,U0006,2025-07-04,Entrée,Mobile money,97000,Transfert reçu
T0000186,U0006,2025-07-28,Entrée,Mobile money,70500,Dépôt
T0000187,U0006,2025-07-25,Entrée,Mobile money,106000,Dépôt
T0000188,U0006,2025-07-12,Entrée,Mobile money,49000,Transfert reçu
T0000189,U0006,2025-07-12,Sortie,Mobile money,76500,Transport
T0000190,U0006,2025-07-24,Sortie,Mobile money,16500,Retrait
T0000191,U0006,2025-07-07,Entrée,Mobile money,28500,Paiement client
T0000192,U0006,2025-08-03,Entrée,Cash,99000,Paiement client
T0000193,U0006,2025-08-10,Sortie,Mobile money,69500,Fournisseur
T0000194,U0006,2025-09-12,Entrée,Mobile money,11500,Paiement client
T0000195,U0006,2025-09-09,Entrée,Cash,25000,Paiement client
T0000196,U0006,2025-11-14,Sortie,Mobile money,24000,Transport
T0000197,U0006,2025-12-25,Entrée,Mobile money,66000,Transfert reçu
T0000198,U0006,2025-12-16,Entrée,Mobile money,9000,Transfert reçu
T0000199,U0006,2026-01-16,Entrée,Mobile money,52000,Paiement client
T0000200,U0006,2026-01-07,Sortie,Mobile money,36000,Retrait
T0000201,U0006,2026-01-25,Entrée,Mobile money,43000,Dépôt
T0000202,U0006,2026-01-25,Entrée,Virement,3500,Transfert reçu
T0000203,U0006,2026-02-26,Entrée,Mobile money,140000,Vente
T0000204,U0006,2026-03-24,Entrée,Mobile money,28000,Paiement client
T0000205,U0006,2026-03-07,Entrée,Mobile money,102000,Transfert reçu
T0000206,U0006,2026-03-26,Entrée,Virement,126000,Paiement client
T0000207,U0006,2026-03-18,Entrée,Mobile money,137500,Paiement client
T0000208,U0006,2026-03-18,Sortie,Mobile money,34000,Transport
T0000209,U0006,2026-03-02,Sortie,Cash,22500,Dépense activité
T0000210,U0006,2026-04-09,Sortie,Mobile money,53000,Transfert envoyé
T0000211,U0006,2026-04-17,Sortie,Mobile money,78000,Transport
T0000212,U0006,2026-04-05,Sortie,Mobile money,4000,Retrait
T0000213,U0006,2026-04-06,Sortie,Mobile money,28500,Dépense activité
T0000214,U0006,2026-05-14,Entrée,Mobile money,150000,Transfert reçu
T0000215,U0006,2026-05-16,Entrée,Mobile money,93000,Dépôt
T0000216,U0006,2026-05-12,Entrée,Mobile money,82500,Transfert reçu
T0000217,U0006,2026-05-17,Entrée,Cash,2000,Vente
T0000218,U0006,2026-05-16,Sortie,Mobile money,38500,Transport
T0000219,U0006,2026-05-10,Entrée,Mobile money,127000,Transfert reçu
T0000220,U0006,2026-05-26,Entrée,Mobile money,62500,Dépôt
T0000221,U0006,2026-06-07,Sortie,Mobile money,65500,Transport
T0000222,U0006,2026-06-04,Entrée,Cash,50500,Vente
T0000223,U0007,2025-07-24,Sortie,Mobile money,33500,Fournisseur
T0000224,U0007,2025-07-22,Sortie,Cash,69500,Dépense activité
T0000225,U0007,2025-07-06,Sortie,Mobile money,43500,Transport
T0000226,U0007,2025-07-04,Sortie,Cash,69500,Transfert envoyé
T0000227,U0007,2025-07-02,Entrée,Mobile money,96500,Paiement client
T0000228,U0007,2025-07-21,Sortie,Cash,32000,Dépense activité
T0000229,U0007,2025-07-13,Entrée,Cash,33500,Dépôt
T0000230,U0007,2025-07-26,Sortie,Cash,77000,Dépense activité
T0000231,U0007,2025-08-18,Entrée,Mobile money,51000,Paiement client
T0000232,U0007,2025-08-06,Entrée,Mobile money,147500,Dépôt
T0000233,U0007,2025-08-18,Entrée,Cash,71000,Dépôt
T0000234,U0007,2025-08-01,Entrée,Cash,50500,Transfert reçu
T0000235,U0007,2025-08-11,Sortie,Mobile money,32500,Transfert envoyé
T0000236,U0007,2025-08-07,Sortie,Mobile money,52000,Transfert envoyé
T0000237,U0007,2025-09-17,Entrée,Mobile money,130500,Transfert reçu
T0000238,U0007,2025-09-08,Sortie,Mobile money,49000,Dépense activité
T0000239,U0007,2025-09-27,Sortie,Cash,65500,Retrait
T0000240,U0007,2025-10-18,Sortie,Virement,24500,Retrait
T0000241,U0007,2025-10-20,Entrée,Mobile money,142000,Paiement client
T0000242,U0007,2025-10-11,Entrée,Mobile money,146000,Dépôt
T0000243,U0007,2025-10-20,Sortie,Mobile money,43500,Fournisseur
T0000244,U0007,2025-10-24,Entrée,Mobile money,146000,Transfert reçu
T0000245,U0007,2025-10-01,Entrée,Virement,106000,Transfert reçu
T0000246,U0007,2025-10-17,Sortie,Virement,3000,Transfert envoyé
T0000247,U0007,2025-11-21,Sortie,Mobile money,79000,Dépense activité
T0000248,U0007,2025-11-25,Entrée,Mobile money,22500,Transfert reçu
T0000249,U0007,2025-11-14,Entrée,Mobile money,116000,Dépôt
T0000250,U0007,2025-11-01,Sortie,Cash,80000,Retrait
T0000251,U0007,2025-11-17,Sortie,Mobile money,41000,Dépense activité
T0000252,U0007,2025-11-17,Entrée,Mobile money,87500,Paiement client
T0000253,U0007,2025-11-25,Sortie,Cash,59500,Fournisseur
T0000254,U0007,2025-12-12,Entrée,Mobile money,46500,Dépôt
T0000255,U0007,2025-12-15,Sortie,Virement,20000,Fournisseur
T0000256,U0007,2025-12-05,Entrée,Mobile money,100000,Paiement client
T0000257,U0007,2025-12-08,Sortie,Mobile money,8000,Dépense activité
T0000258,U0007,2026-01-16,Entrée,Mobile money,146000,Dépôt
T0000259,U0007,2026-01-19,Sortie,Virement,50500,Dépense activité
T0000260,U0007,2026-02-13,Sortie,Cash,9500,Dépense activité
T0000261,U0007,2026-02-01,Sortie,Mobile money,15000,Transport
T0000262,U0007,2026-03-10,Sortie,Mobile money,19000,Retrait
T0000263,U0007,2026-03-25,Sortie,Virement,57500,Retrait
T0000264,U0007,2026-03-03,Entrée,Virement,85000,Paiement client
T0000265,U0007,2026-04-05,Entrée,Mobile money,126000,Transfert reçu
T0000266,U0007,2026-04-09,Entrée,Cash,6000,Transfert reçu
T0000267,U0007,2026-04-03,Sortie,Cash,28000,Retrait
T0000268,U0007,2026-04-23,Entrée,Virement,130500,Transfert reçu
T0000269,U0007,2026-04-13,Entrée,Mobile money,114000,Paiement client
T0000270,U0007,2026-04-13,Sortie,Mobile money,42000,Fournisseur
T0000271,U0007,2026-04-17,Sortie,Mobile money,71500,Transfert envoyé
T0000272,U0007,2026-05-04,Sortie,Mobile money,13000,Dépense activité
T0000273,U0007,2026-05-23,Sortie,Mobile money,69500,Dépense activité
T0000274,U0007,2026-05-18,Entrée,Mobile money,101500,Paiement client
T0000275,U0007,2026-05-06,Entrée,Mobile money,41500,Dépôt
T0000276,U0007,2026-05-10,Sortie,Cash,56000,Dépense activité
T0000277,U0007,2026-05-21,Entrée,Mobile money,77500,Transfert reçu
T0000278,U0007,2026-05-20,Entrée,Virement,3000,Paiement client
T0000279,U0007,2026-06-28,Entrée,Mobile money,40000,Vente
T0000280,U0007,2026-06-03,Entrée,Mobile money,89000,Dépôt
T0000281,U0007,2026-06-22,Entrée,Mobile money,44500,Paiement client
T0000282,U0008,2025-07-19,Entrée,Cash,30500,Vente
T0000283,U0008,2025-07-24,Sortie,Mobile money,64500,Dépense activité
T0000284,U0008,2025-07-20,Sortie,Virement,57000,Transport
T0000285,U0008,2025-07-05,Sortie,Mobile money,47500,Transfert envoyé
T0000286,U0008,2025-07-26,Sortie,Mobile money,65500,Fournisseur
T0000287,U0008,2025-07-01,Entrée,Mobile money,52500,Dépôt
T0000288,U0008,2025-08-27,Sortie,Mobile money,5000,Transfert envoyé
T0000289,U0008,2025-08-16,Entrée,Mobile money,127500,Dépôt
T0000290,U0008,2025-09-18,Entrée,Mobile money,147500,Dépôt
T0000291,U0008,2025-09-03,Entrée,Mobile money,94500,Dépôt
T0000292,U0008,2026-02-07,Sortie,Mobile money,43000,Retrait
T0000293,U0008,2026-02-22,Entrée,Mobile money,117500,Dépôt
T0000294,U0008,2026-02-01,Entrée,Cash,32000,Dépôt
T0000295,U0008,2026-02-18,Sortie,Mobile money,28000,Dépense activité
T0000296,U0008,2026-02-19,Entrée,Mobile money,76500,Paiement client
T0000297,U0008,2026-02-15,Entrée,Cash,143500,Dépôt
T0000298,U0008,2026-03-15,Entrée,Mobile money,87000,Dépôt
T0000299,U0008,2026-03-16,Entrée,Cash,94000,Vente
T0000300,U0008,2026-03-17,Entrée,Cash,35500,Dépôt
T0000301,U0008,2026-03-18,Entrée,Mobile money,87500,Vente
T0000302,U0008,2026-04-19,Entrée,Mobile money,116000,Transfert reçu
T0000303,U0008,2026-05-15,Sortie,Mobile money,79000,Transfert envoyé
T0000304,U0008,2026-05-10,Entrée,Cash,48000,Transfert reçu
T0000305,U0008,2026-06-18,Sortie,Mobile money,60500,Retrait
T0000306,U0008,2026-06-07,Entrée,Mobile money,53500,Transfert reçu
T0000307,U0009,2025-07-08,Sortie,Mobile money,5000,Transport
T0000308,U0009,2025-07-13,Entrée,Mobile money,102500,Dépôt
T0000309,U0009,2025-07-05,Entrée,Mobile money,126500,Paiement client
T0000310,U0009,2025-07-05,Entrée,Mobile money,111500,Dépôt
T0000311,U0009,2025-07-01,Entrée,Virement,37000,Paiement client
T0000312,U0009,2025-07-05,Entrée,Cash,116500,Transfert reçu
T0000313,U0009,2025-08-17,Entrée,Mobile money,124000,Dépôt
T0000314,U0009,2025-08-16,Entrée,Virement,66500,Vente
T0000315,U0009,2025-08-26,Sortie,Mobile money,71500,Dépense activité
T0000316,U0009,2025-08-25,Sortie,Mobile money,71000,Transport
T0000317,U0009,2025-08-14,Entrée,Mobile money,89000,Transfert reçu
T0000318,U0009,2025-08-06,Entrée,Virement,78000,Dépôt
T0000319,U0009,2025-08-09,Entrée,Virement,150000,Dépôt
T0000320,U0009,2025-09-03,Entrée,Mobile money,92000,Vente
T0000321,U0009,2025-09-25,Sortie,Mobile money,66000,Retrait
T0000322,U0009,2025-09-24,Sortie,Mobile money,58500,Retrait
T0000323,U0009,2025-10-18,Sortie,Mobile money,14000,Dépense activité
T0000324,U0009,2025-10-11,Sortie,Virement,36500,Fournisseur
T0000325,U0009,2025-10-15,Entrée,Mobile money,104500,Dépôt
T0000326,U0009,2025-10-17,Sortie,Mobile money,26500,Transfert envoyé
T0000327,U0009,2025-11-09,Sortie,Mobile money,10500,Retrait
T0000328,U0009,2025-11-09,Sortie,Mobile money,9000,Transport
T0000329,U0009,2025-11-16,Sortie,Mobile money,10000,Fournisseur
T0000330,U0009,2025-11-21,Sortie,Cash,24500,Fournisseur
T0000331,U0009,2025-11-20,Entrée,Cash,59000,Transfert reçu
T0000332,U0009,2025-11-02,Sortie,Virement,14500,Transport
T0000333,U0009,2025-11-01,Entrée,Mobile money,119000,Dépôt
T0000334,U0009,2025-12-14,Sortie,Mobile money,63500,Fournisseur
T0000335,U0009,2026-01-24,Sortie,Cash,4500,Retrait
T0000336,U0009,2026-01-26,Sortie,Mobile money,9500,Fournisseur
T0000337,U0009,2026-01-02,Entrée,Mobile money,6500,Transfert reçu
T0000338,U0009,2026-01-04,Entrée,Mobile money,108500,Vente
T0000339,U0009,2026-01-05,Entrée,Mobile money,142500,Transfert reçu
T0000340,U0009,2026-02-04,Sortie,Mobile money,9500,Transport
T0000341,U0009,2026-02-18,Entrée,Mobile money,99000,Paiement client
T0000342,U0009,2026-02-04,Entrée,Mobile money,37000,Vente
T0000343,U0009,2026-03-14,Sortie,Cash,46500,Transport
T0000344,U0009,2026-03-04,Entrée,Mobile money,141000,Vente
T0000345,U0009,2026-03-08,Sortie,Virement,67500,Transfert envoyé
T0000346,U0009,2026-03-02,Entrée,Mobile money,74500,Paiement client
T0000347,U0009,2026-03-06,Entrée,Mobile money,132500,Transfert reçu
T0000348,U0009,2026-04-06,Sortie,Cash,60500,Transfert envoyé
T0000349,U0009,2026-04-09,Entrée,Cash,96000,Paiement client
T0000350,U0009,2026-05-02,Sortie,Virement,56000,Dépense activité
T0000351,U0009,2026-05-17,Entrée,Mobile money,113500,Vente
T0000352,U0009,2026-05-16,Entrée,Mobile money,120500,Vente
T0000353,U0009,2026-05-07,Entrée,Mobile money,108500,Vente
T0000354,U0009,2026-05-16,Entrée,Mobile money,6000,Vente
T0000355,U0009,2026-05-24,Sortie,Cash,76000,Fournisseur
T0000356,U0009,2026-06-11,Sortie,Virement,30500,Retrait
T0000357,U0009,2026-06-02,Entrée,Mobile money,74500,Transfert reçu
T0000358,U0009,2026-06-17,Entrée,Mobile money,133500,Transfert reçu
T0000359,U0009,2026-06-10,Sortie,Mobile money,71000,Transfert envoyé
T0000360,U0009,2026-06-15,Entrée,Mobile money,51500,Vente
T0000361,U0009,2026-06-03,Entrée,Mobile money,77500,Paiement client
T0000362,U0009,2026-06-05,Entrée,Mobile money,132000,Paiement client
T0000363,U0009,2026-06-14,Sortie,Mobile money,39500,Dépense activité
T0000364,U0010,2025-07-21,Entrée,Cash,138000,Paiement client
T0000365,U0010,2025-08-13,Sortie,Mobile money,4500,Dépense activité
T0000366,U0010,2025-08-05,Sortie,Mobile money,43000,Fournisseur
T0000367,U0010,2025-08-16,Entrée,Mobile money,79500,Dépôt
T0000368,U0010,2025-08-26,Sortie,Virement,20500,Transfert envoyé
T0000369,U0010,2025-08-23,Sortie,Virement,45500,Fournisseur
T0000370,U0010,2025-08-22,Entrée,Mobile money,38500,Vente
T0000371,U0010,2025-09-01,Entrée,Virement,53500,Dépôt
T0000372,U0010,2025-09-13,Entrée,Mobile money,136000,Vente
T0000373,U0010,2025-10-05,Sortie,Mobile money,55500,Fournisseur
T0000374,U0010,2025-10-10,Sortie,Mobile money,28000,Retrait
T0000375,U0010,2025-10-19,Entrée,Virement,19500,Dépôt
T0000376,U0010,2025-10-14,Sortie,Cash,37000,Fournisseur
T0000377,U0010,2025-10-06,Entrée,Mobile money,54000,Paiement client
T0000378,U0010,2025-12-19,Entrée,Virement,97000,Vente
T0000379,U0010,2025-12-23,Entrée,Mobile money,127000,Dépôt
T0000380,U0010,2025-12-28,Sortie,Mobile money,3500,Transfert envoyé
T0000381,U0010,2025-12-15,Entrée,Mobile money,86000,Paiement client
T0000382,U0010,2025-12-09,Sortie,Cash,8000,Retrait
T0000383,U0010,2025-12-10,Entrée,Mobile money,15000,Dépôt
T0000384,U0010,2025-12-07,Entrée,Mobile money,136500,Vente
T0000385,U0010,2025-12-25,Sortie,Cash,79500,Dépense activité
T0000386,U0010,2026-01-15,Entrée,Mobile money,111500,Vente
T0000387,U0010,2026-01-16,Sortie,Cash,3500,Retrait
T0000388,U0010,2026-01-20,Entrée,Mobile money,118000,Paiement client
T0000389,U0010,2026-03-26,Entrée,Mobile money,27500,Vente
T0000390,U0010,2026-03-22,Entrée,Mobile money,50500,Paiement client
T0000391,U0010,2026-03-12,Entrée,Cash,93000,Dépôt
